ParName   Value   Gradient
MGparm[2]      8.22952 2.84765e-006
MGparm[3]      63.3852 2.64708e-005
MGparm[4]    0.0658763  1.5584e-005
MGparm[5]      0.19091 1.13764e-006
MGparm[6]    0.0544359 1.67602e-006
MGparm[15]     0.402686 -1.60264e-005
SR_parm[1]      5.37899 8.74491e-005
recdev_early(1889)   -0.0125015 2.80748e-007
recdev_early(1890)   -0.0129056 3.86611e-007
recdev_early(1891)   -0.0133196  3.5111e-007
recdev_early(1892)   -0.0137466 4.04528e-007
recdev_early(1893)   -0.0141825 4.41596e-007
recdev_early(1894)   -0.0146325 4.21823e-007
recdev_early(1895)   -0.0150967 3.82111e-007
recdev_early(1896)   -0.0155762 3.94629e-007
recdev_early(1897)   -0.0160719 3.97696e-007
recdev_early(1898)   -0.0165787 4.73386e-007
recdev_early(1899)   -0.0170954 4.50784e-007
recdev_early(1900)   -0.0176419 5.01859e-007
recdev_early(1901)    -0.018188 4.36867e-007
recdev_early(1902)   -0.0187258  5.2556e-007
recdev_early(1903)   -0.0193225 4.75211e-007
recdev_early(1904)   -0.0199184 5.65912e-007
recdev_early(1905)   -0.0205043 5.52843e-007
recdev_early(1906)    -0.021076 5.93553e-007
recdev_early(1907)   -0.0215894 6.03173e-007
recdev_early(1908)   -0.0220745 4.63663e-007
recdev_early(1909)   -0.0225439 7.56202e-007
recdev_early(1910)   -0.0229946 4.34093e-007
recdev_early(1911)   -0.0234373 8.02955e-007
recdev_early(1912)   -0.0238878 5.39406e-007
recdev_early(1913)   -0.0244425 7.36876e-007
recdev_early(1914)    -0.025194 6.16991e-007
recdev_early(1915)   -0.0263219 8.16564e-007
recdev_early(1916)    -0.027984 7.07913e-007
recdev_early(1917)    -0.030402 8.47726e-007
recdev_early(1918)    -0.033866 7.70742e-007
recdev_early(1919)   -0.0386481 7.83928e-007
recdev_early(1920)    -0.044951 8.36622e-007
recdev_early(1921)   -0.0528571 8.34048e-007
recdev_early(1922)   -0.0623188 8.75948e-007
recdev_early(1923)   -0.0731365 8.57622e-007
recdev_early(1924)   -0.0849431 9.25798e-007
recdev_early(1925)   -0.0972109 8.54727e-007
recdev_early(1926)    -0.109242 8.75302e-007
recdev_early(1927)    -0.120202  1.0118e-006
recdev_early(1928)    -0.129242 1.01996e-006
recdev_early(1929)    -0.135614 1.03265e-006
recdev_early(1930)    -0.138891 1.12952e-006
recdev_early(1931)    -0.139247 1.05299e-006
recdev_early(1932)    -0.137556 9.90275e-007
recdev_early(1933)    -0.135341 1.14313e-006
recdev_early(1934)    -0.134579 1.14963e-006
recdev_early(1935)    -0.137003 8.81276e-007
recdev_early(1936)    -0.143305 1.01214e-006
recdev_early(1937)    -0.152564 1.01829e-006
recdev_early(1938)     -0.16244 1.13779e-006
recdev_early(1939)    -0.169879 1.22474e-006
recdev_early(1940)    -0.172086 1.14988e-006
recdev_early(1941)    -0.166781 1.18324e-006
recdev_early(1942)    -0.151693 1.48287e-006
recdev_early(1943)    -0.123677 1.46241e-006
recdev_early(1944)   -0.0783954 1.58746e-006
recdev_early(1945)   -0.0119614 1.69265e-006
recdev_early(1946)    0.0753438 1.53677e-006
recdev_early(1947)     0.172222 2.17426e-006
recdev_early(1948)     0.247196 2.17692e-006
recdev_early(1949)     0.249835 2.36729e-006
recdev_early(1950)     0.158191 2.73843e-006
recdev_early(1951)    0.0106403 1.96004e-006
recdev_early(1952)     -0.14104 1.76491e-006
recdev_early(1953)    -0.264323 1.35051e-006
recdev_early(1954)    -0.343931  1.1336e-006
recdev_early(1955)    -0.373233 9.86624e-007
recdev_early(1956)    -0.349931 9.49238e-007
recdev_early(1957)    -0.279216 1.31256e-006
recdev_early(1958)    -0.180208 1.78119e-006
recdev_early(1959)   -0.0910168 1.81878e-006
recdev_early(1960)   -0.0792803 1.75946e-006
recdev_early(1961)     -0.19165 1.66356e-006
recdev_early(1962)    -0.363094 8.89212e-007
recdev_early(1963)    -0.489999 3.68409e-007
recdev_early(1964)    -0.497112 4.50838e-007
recdev_early(1965)    -0.357943 1.07308e-006
recdev_early(1966)    -0.159749 1.12626e-006
recdev_early(1967)    -0.029004 1.43154e-006
recdev_early(1968)     0.156683 1.92004e-006
recdev_early(1969)     0.370064 2.87292e-006
recdev_early(1970)     0.566013 3.64383e-006
recdev_early(1971)     0.851948 4.24666e-006
recdev_early(1972)     0.322216 2.67968e-006
recdev_early(1973)    0.0124553 1.09088e-006
recdev_early(1974)   -0.0387686 1.57639e-006
recdev_early(1975)     0.291365  2.7237e-006
recdev_early(1976)     0.209633 2.29077e-006
recdev_early(1977)     0.127491 1.07521e-006
recdev_early(1978)   -0.0829391 -1.13616e-007
recdev_early(1979)    0.0447108 -9.45763e-007
recdev1(1980)     0.211793 -1.34429e-006
recdev1(1981)      0.45475 -8.48884e-007
recdev1(1982)     0.701207 -4.23407e-008
recdev1(1983)     0.362087 8.35946e-007
recdev1(1984)     0.490919 5.30301e-007
recdev1(1985)     0.133031 -8.02626e-007
