ParName   Value   Gradient
MGparm[2]      7.93653 1.02383e-006
MGparm[3]       63.371 8.98036e-005
MGparm[4]    0.0665086 2.93443e-005
MGparm[5]     0.192571 1.27264e-005
MGparm[6]    0.0541861 2.58266e-005
MGparm[15]     0.432868 -7.5862e-005
SR_parm[1]      5.38329  0.000288197
recdev_early(1889)  -0.00953074 1.39969e-006
recdev_early(1890)   -0.0098366 7.86082e-008
recdev_early(1891)   -0.0101494 -1.20833e-006
recdev_early(1892)   -0.0104719 6.03256e-007
recdev_early(1893)   -0.0108006 2.43144e-006
recdev_early(1894)   -0.0111404 -1.54659e-006
recdev_early(1895)   -0.0114909 4.66474e-006
recdev_early(1896)   -0.0118538 -1.12183e-006
recdev_early(1897)   -0.0122294 2.95738e-006
recdev_early(1898)    -0.012613  1.3567e-006
recdev_early(1899)   -0.0130036 -4.23992e-006
recdev_early(1900)   -0.0134187  4.6011e-006
recdev_early(1901)    -0.013831 -1.22824e-006
recdev_early(1902)   -0.0142322 -8.36039e-007
recdev_early(1903)   -0.0146879 3.37206e-006
recdev_early(1904)   -0.0151401  2.2739e-007
recdev_early(1905)   -0.0155789 1.39612e-006
recdev_early(1906)   -0.0159987 5.91078e-006
recdev_early(1907)   -0.0163568 -1.16624e-006
recdev_early(1908)   -0.0166833 -1.70538e-007
recdev_early(1909)   -0.0169896 3.31206e-006
recdev_early(1910)   -0.0172755 5.76657e-006
recdev_early(1911)    -0.017553 1.07115e-007
recdev_early(1912)   -0.0178384 -1.19365e-006
recdev_early(1913)    -0.018228  1.6444e-006
recdev_early(1914)   -0.0188171 1.42679e-006
recdev_early(1915)   -0.0197855 3.65972e-006
recdev_early(1916)   -0.0212954 3.95918e-006
recdev_early(1917)   -0.0235708 -5.23764e-007
recdev_early(1918)   -0.0269087 3.15161e-006
recdev_early(1919)   -0.0315806 3.52811e-006
recdev_early(1920)   -0.0377889 5.58143e-006
recdev_early(1921)   -0.0456179 -2.27229e-007
recdev_early(1922)   -0.0550189  1.1479e-006
recdev_early(1923)     -0.06579 2.91893e-006
recdev_early(1924)   -0.0775611 2.04481e-006
recdev_early(1925)      -0.0898 1.72603e-006
recdev_early(1926)    -0.101803 2.48063e-006
recdev_early(1927)    -0.112733  3.2306e-006
recdev_early(1928)    -0.121737 2.47669e-006
recdev_early(1929)    -0.128066 -5.51883e-007
recdev_early(1930)    -0.131292 4.36001e-006
recdev_early(1931)    -0.131595 6.42522e-006
recdev_early(1932)     -0.12985  1.1474e-006
recdev_early(1933)    -0.127582 5.46341e-006
recdev_early(1934)    -0.126778 -4.44734e-007
recdev_early(1935)    -0.129179 3.24682e-006
recdev_early(1936)    -0.135485 4.87543e-006
recdev_early(1937)    -0.144787 3.57149e-006
recdev_early(1938)    -0.154741 4.03394e-006
