ParName   Value   Gradient
MGparm[2]       8.1489 -1.12785e-005
MGparm[3]      63.3261 -8.38711e-005
MGparm[4]    0.0661839 -7.06494e-005
MGparm[5]      0.19155 -3.70351e-007
MGparm[6]    0.0542179 -8.27798e-006
MGparm[15]     0.405747  0.000130999
SR_parm[1]      5.38344 -9.34953e-005
recdev_early(1889)   -0.0156872 -6.43583e-007
recdev_early(1890)    -0.016197 1.15394e-007
recdev_early(1891)   -0.0167196 -5.33293e-007
recdev_early(1892)   -0.0172583 1.25143e-006
recdev_early(1893)   -0.0178093 5.06787e-007
recdev_early(1894)   -0.0183779 -1.01145e-006
recdev_early(1895)    -0.018964 -6.41991e-007
recdev_early(1896)   -0.0195688 5.42518e-007
recdev_early(1897)   -0.0201932 5.39662e-007
recdev_early(1898)   -0.0208322 -4.27667e-007
recdev_early(1899)   -0.0214826 -9.51384e-007
recdev_early(1900)   -0.0221652 -8.54361e-007
recdev_early(1901)   -0.0228499 -1.01338e-006
recdev_early(1902)   -0.0235305 -1.64628e-006
recdev_early(1903)   -0.0242728 -1.71258e-006
recdev_early(1904)   -0.0250168 -8.52687e-007
recdev_early(1905)   -0.0257531 -4.84216e-008
recdev_early(1906)   -0.0264764 -5.11754e-007
recdev_early(1907)   -0.0271434 -1.17872e-006
recdev_early(1908)   -0.0277824 -1.56762e-006
recdev_early(1909)   -0.0284051 -7.48368e-007
recdev_early(1910)   -0.0290082 -5.60448e-007
recdev_early(1911)   -0.0296009 -5.33191e-007
recdev_early(1912)   -0.0301968 -2.13769e-006
recdev_early(1913)   -0.0308905 -4.95499e-006
recdev_early(1914)   -0.0317715 2.01403e-006
recdev_early(1915)   -0.0330172 -5.26973e-006
recdev_early(1916)   -0.0347807 -1.60016e-006
recdev_early(1917)     -0.03729 -1.32778e-006
recdev_early(1918)   -0.0408266 -6.56026e-007
recdev_early(1919)   -0.0456532 -8.02426e-007
recdev_early(1920)   -0.0519714 -1.71839e-006
recdev_early(1921)   -0.0598601 -1.71725e-007
recdev_early(1922)    -0.069271 3.64209e-007
recdev_early(1923)   -0.0800055 -1.86417e-006
recdev_early(1924)   -0.0916997 -1.22695e-006
recdev_early(1925)     -0.10383 -3.03638e-007
recdev_early(1926)    -0.115706 9.60585e-008
recdev_early(1927)    -0.126501 -4.29152e-006
recdev_early(1928)    -0.135373 -9.99321e-008
recdev_early(1929)    -0.141587 -1.38426e-006
recdev_early(1930)     -0.14472 -1.09854e-006
recdev_early(1931)    -0.144946 -1.75539e-006
recdev_early(1932)    -0.143137 -1.43937e-006
recdev_early(1933)    -0.140798 -2.58068e-006
recdev_early(1934)    -0.139889 -2.82993e-006
recdev_early(1935)    -0.142122 -2.93857e-006
recdev_early(1936)    -0.148173 -3.07312e-006
recdev_early(1937)    -0.157121 -9.88535e-007
recdev_early(1938)    -0.166637 -1.70635e-006
recdev_early(1939)    -0.173681 -8.33302e-007
recdev_early(1940)    -0.175476 -6.57194e-007
recdev_early(1941)    -0.169754 -2.15659e-006
recdev_early(1942)    -0.154258 -6.64462e-007
recdev_early(1943)    -0.125853 -1.18429e-006
recdev_early(1944)   -0.0802001 -1.11206e-007
recdev_early(1945)    -0.013396 -1.43598e-006
recdev_early(1946)    0.0743327 -1.30119e-006
recdev_early(1947)      0.17179 -1.48545e-006
recdev_early(1948)     0.247619 -1.80302e-006
recdev_early(1949)      0.25125 -1.81691e-006
recdev_early(1950)     0.160281 -2.11814e-006
recdev_early(1951)    0.0130224 -6.08812e-007
recdev_early(1952)    -0.138521 -9.13386e-007
recdev_early(1953)    -0.261698 -3.57509e-006
recdev_early(1954)    -0.341207 -3.48942e-006
recdev_early(1955)    -0.370418 -3.44957e-006
recdev_early(1956)    -0.347007 -2.0611e-006
recdev_early(1957)    -0.276117 -7.67125e-007
recdev_early(1958)    -0.176852 -2.84666e-006
recdev_early(1959)   -0.0874183 -9.85875e-007
recdev_early(1960)   -0.0757063 -3.26149e-006
recdev_early(1961)    -0.188451 -2.4146e-006
recdev_early(1962)    -0.360303 -1.3317e-006
recdev_early(1963)    -0.487521 -2.22346e-006
recdev_early(1964)    -0.494846 -3.27711e-006
recdev_early(1965)    -0.355646 -2.68713e-006
recdev_early(1966)    -0.156999 -2.09948e-007
recdev_early(1967)   -0.0261076 1.94285e-006
recdev_early(1968)     0.159461 4.86537e-006
recdev_early(1969)     0.372811 1.09634e-005
recdev_early(1970)     0.568542 1.62938e-005
recdev_early(1971)     0.854618 1.51276e-005
recdev_early(1972)     0.323735 1.41043e-005
recdev_early(1973)    0.0143582 1.20862e-005
recdev_early(1974)    -0.037426 8.53787e-006
