ParName   Value   Gradient
MGparm[2]      8.23407 1.41138e-005
MGparm[3]      63.3856  0.000115821
MGparm[4]    0.0658471 9.44984e-005
MGparm[5]      0.19095 8.15971e-006
MGparm[6]    0.0544132 1.43823e-005
MGparm[15]     0.400636 -0.000262519
SR_parm[1]      5.37972  0.000332546
recdev_early(1889)   -0.0130904  1.5241e-006
recdev_early(1890)   -0.0135143 1.02614e-006
recdev_early(1891)   -0.0139486 9.47923e-007
recdev_early(1892)   -0.0143964 2.42661e-006
recdev_early(1893)   -0.0148539 -4.33364e-007
recdev_early(1894)    -0.015326 2.88794e-006
recdev_early(1895)   -0.0158132 1.14302e-006
recdev_early(1896)   -0.0163163 7.35182e-007
recdev_early(1897)   -0.0168364  8.6552e-007
recdev_early(1898)   -0.0173682 2.90049e-006
recdev_early(1899)   -0.0179108 2.45248e-006
recdev_early(1900)    -0.018484 -2.56798e-007
recdev_early(1901)   -0.0190574  7.6841e-007
recdev_early(1902)   -0.0196233 1.71952e-006
recdev_early(1903)    -0.020249 1.19872e-006
recdev_early(1904)    -0.020875 2.63394e-008
recdev_early(1905)   -0.0214915 6.86565e-007
recdev_early(1906)   -0.0220946 2.74041e-006
recdev_early(1907)   -0.0226403 1.74134e-006
recdev_early(1908)   -0.0231582 2.16789e-006
recdev_early(1909)   -0.0236613 5.04264e-006
recdev_early(1910)   -0.0241464 6.22646e-007
recdev_early(1911)    -0.024624 6.31324e-007
recdev_early(1912)   -0.0251092 8.53787e-006
recdev_early(1913)   -0.0256993 -1.60413e-006
recdev_early(1914)   -0.0264856  4.0561e-006
recdev_early(1915)   -0.0276479 2.80051e-006
recdev_early(1916)    -0.029343 2.88548e-006
recdev_early(1917)   -0.0317921 1.13711e-006
recdev_early(1918)   -0.0352836 2.02169e-006
recdev_early(1919)   -0.0400898 2.03905e-006
recdev_early(1920)   -0.0464136 1.98057e-006
recdev_early(1921)   -0.0543366 -1.20204e-006
recdev_early(1922)   -0.0638111 4.18294e-006
recdev_early(1923)    -0.074638  6.9235e-007
recdev_early(1924)   -0.0864507 1.99148e-006
recdev_early(1925)   -0.0987222 4.57335e-006
recdev_early(1926)    -0.110755 1.33916e-006
recdev_early(1927)    -0.121717 1.43044e-006
recdev_early(1928)    -0.130759 4.71644e-006
recdev_early(1929)    -0.137135 2.45238e-006
recdev_early(1930)    -0.140417   4.307e-006
recdev_early(1931)     -0.14078 5.63534e-006
recdev_early(1932)    -0.139098 2.88142e-006
recdev_early(1933)    -0.136891 2.88848e-006
recdev_early(1934)    -0.136138 2.41823e-006
recdev_early(1935)    -0.138567 1.06874e-006
recdev_early(1936)    -0.144869  1.6502e-006
recdev_early(1937)    -0.154122 2.76864e-006
recdev_early(1938)    -0.163987 5.40315e-006
recdev_early(1939)    -0.171411 4.76959e-006
recdev_early(1940)    -0.173601 4.10284e-006
recdev_early(1941)    -0.168279  7.6944e-006
recdev_early(1942)    -0.153177 5.97535e-006
recdev_early(1943)    -0.125154 3.72308e-006
recdev_early(1944)    -0.079878 5.66084e-006
recdev_early(1945)   -0.0134763 4.37617e-006
recdev_early(1946)    0.0737515 4.73345e-006
recdev_early(1947)      0.17049 5.29474e-006
recdev_early(1948)       0.2453 7.91417e-006
recdev_early(1949)     0.247917 8.12199e-006
recdev_early(1950)      0.15646 5.78399e-006
recdev_early(1951)   0.00913351 4.46691e-006
recdev_early(1952)    -0.142385 5.66915e-006
recdev_early(1953)    -0.265565  4.1787e-006
recdev_early(1954)    -0.345105 3.43072e-006
recdev_early(1955)    -0.374363 3.95162e-006
recdev_early(1956)    -0.351038 4.85659e-006
recdev_early(1957)    -0.280328 3.47581e-006
recdev_early(1958)    -0.181371 6.67601e-006
recdev_early(1959)   -0.0922906  1.7232e-006
recdev_early(1960)   -0.0806699 5.99158e-006
recdev_early(1961)    -0.193022  7.8951e-006
recdev_early(1962)    -0.364347 5.52982e-006
recdev_early(1963)    -0.491128 5.29419e-006
recdev_early(1964)    -0.498164  3.0357e-006
recdev_early(1965)    -0.359045 3.46835e-006
recdev_early(1966)    -0.161091 3.70445e-006
recdev_early(1967)   -0.0304413 3.35126e-006
recdev_early(1968)     0.155236  2.5527e-006
recdev_early(1969)     0.368522 3.45193e-006
recdev_early(1970)     0.564767 1.42057e-006
recdev_early(1971)     0.849868 1.91099e-006
recdev_early(1972)     0.320877 1.64722e-006
recdev_early(1973)    0.0110825 -3.56036e-006
recdev_early(1974)   -0.0399522 2.50288e-006
recdev_early(1975)     0.289727 1.55248e-005
recdev_early(1976)     0.207999 1.84458e-005
recdev_early(1977)     0.125513 2.01778e-005
recdev_early(1978)   -0.0845348  8.3005e-006
recdev_early(1979)    0.0443481 1.57934e-005
recdev1(1980)     0.206896  1.4509e-005
recdev1(1981)     0.450937 7.33525e-006
recdev1(1982)     0.699963  8.3249e-006
recdev1(1983)     0.358398 1.22632e-005
recdev1(1984)     0.489674 1.61923e-005
recdev1(1985)     0.130855 6.81846e-006
recdev1(1986)    -0.142498  1.2735e-005
recdev1(1987)    -0.241934 -3.06232e-006
recdev1(1988)    -0.386827 -3.33267e-006
recdev1(1989)    -0.523328 -9.68148e-006
recdev1(1990)    -0.700725 -6.69923e-006
recdev1(1991)     -0.84285 -4.17346e-006
recdev1(1992)    -0.629629 -1.08929e-007
recdev1(1993)     0.318818 -2.24237e-006
recdev1(1994)    0.0249898 7.09756e-007
recdev1(1995)    -0.753933 -5.16029e-007
recdev1(1996)    -0.788631 -2.54584e-006
recdev1(1997)     -0.60841 -5.0446e-006
recdev1(1998)   -0.0788332 -5.86856e-006
recdev1(1999)     0.583512 -1.52895e-005
recdev1(2000)     -0.10666 -3.56889e-006
recdev1(2001)     0.160848 -2.71519e-006
recdev1(2002)      1.15212 -2.55868e-006
recdev1(2003)     0.400784 -2.16519e-006
recdev1(2004)    -0.378062 -3.70559e-006
recdev1(2005)    -0.141995 -1.82809e-006
recdev1(2006)     0.090819 2.62784e-007
recdev1(2007)     0.324552 9.17302e-011
recdev1(2008)     0.725676 -1.4769e-006
recdev1(2009)     0.409278 -1.49185e-006
recdev1(2010)     0.486519 -3.69207e-007
recdev1(2011)     0.399818 -2.4824e-006
recdev1(2012)    -0.298636 -2.58608e-007
recdev1(2013)    -0.286616  1.0611e-006
recdev1(2014)    -0.316873 1.73723e-006
recdev1(2015)    -0.188023 -5.05495e-007
Fcast_recruitments(2016)            0            0
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_impl_error(2017)            0            0
Fcast_impl_error(2018)            0            0
Fcast_impl_error(2019)            0            0
Fcast_impl_error(2020)            0            0
Fcast_impl_error(2021)            0            0
Fcast_impl_error(2022)            0            0
Fcast_impl_error(2023)            0            0
Fcast_impl_error(2024)            0            0
