ParName   Value   Gradient
MGparm[2]      8.46431 -2.51762e-006
MGparm[3]      63.4146 -3.2345e-005
MGparm[4]    0.0653014 -1.62738e-005
MGparm[5]     0.189647 -2.72552e-006
MGparm[6]    0.0547718 -3.29958e-006
MGparm[15]     0.407893 5.65523e-005
SR_parm[1]       5.3868 -8.66749e-005
recdev_early(1889)   -0.0128206 8.98881e-008
recdev_early(1890)   -0.0132388 -1.16318e-007
recdev_early(1891)   -0.0136675 -1.11342e-007
recdev_early(1892)   -0.0141098 -3.46911e-007
recdev_early(1893)   -0.0145615 -2.24445e-007
recdev_early(1894)   -0.0150283 -5.02672e-007
recdev_early(1895)   -0.0155101 -4.76943e-007
recdev_early(1896)   -0.0160083 -1.33317e-006
recdev_early(1897)   -0.0165236  3.4982e-007
recdev_early(1898)   -0.0170512 -1.39638e-006
recdev_early(1899)     -0.01759 9.28096e-007
recdev_early(1900)   -0.0181609 -1.30626e-006
recdev_early(1901)   -0.0187328 1.55912e-007
recdev_early(1902)   -0.0192988 1.29763e-007
recdev_early(1903)   -0.0199244 -1.32146e-006
recdev_early(1904)   -0.0205514  1.0068e-006
recdev_early(1905)   -0.0211688 -1.64343e-006
recdev_early(1906)   -0.0217735 8.83308e-007
recdev_early(1907)   -0.0223219 -1.5704e-006
recdev_early(1908)   -0.0228434 -2.81866e-007
recdev_early(1909)   -0.0233511 -8.70332e-007
recdev_early(1910)   -0.0238394 -2.16989e-007
recdev_early(1911)   -0.0243198 -1.8305e-006
recdev_early(1912)   -0.0248113 1.92747e-007
recdev_early(1913)   -0.0254112 -3.20143e-008
recdev_early(1914)   -0.0262159 -1.26124e-006
recdev_early(1915)   -0.0274074 -4.7914e-007
recdev_early(1916)   -0.0291469 -1.10222e-006
recdev_early(1917)   -0.0316568 -8.67089e-007
recdev_early(1918)   -0.0352266 -4.57393e-009
recdev_early(1919)   -0.0401293 -7.04495e-007
recdev_early(1920)   -0.0465596 -4.42702e-007
recdev_early(1921)   -0.0545861 -5.87484e-007
recdev_early(1922)   -0.0641431 -6.86018e-007
recdev_early(1923)   -0.0750098 -3.44077e-010
recdev_early(1924)   -0.0868001 -9.89477e-007
recdev_early(1925)   -0.0989726 -9.79661e-007
recdev_early(1926)    -0.110824 -5.87803e-007
recdev_early(1927)    -0.121524 -8.12917e-007
recdev_early(1928)    -0.130231   -8.19e-007
recdev_early(1929)    -0.136211 -1.09487e-006
recdev_early(1930)    -0.139048 -1.00154e-006
recdev_early(1931)    -0.138931 -1.01046e-006
recdev_early(1932)    -0.136751 -1.19988e-006
recdev_early(1933)    -0.134059 -1.54088e-006
recdev_early(1934)    -0.132864 -1.69576e-006
recdev_early(1935)    -0.134929 -6.97355e-007
recdev_early(1936)    -0.140957 -2.43678e-007
recdev_early(1937)    -0.150011 -7.43229e-007
recdev_early(1938)     -0.15971 -1.2575e-006
recdev_early(1939)    -0.166962 -1.69674e-006
recdev_early(1940)    -0.168955 -1.85327e-006
recdev_early(1941)    -0.163421 -9.89218e-007
recdev_early(1942)    -0.148139 -1.05493e-006
recdev_early(1943)    -0.120077 -9.85721e-007
recdev_early(1944)   -0.0751171 -9.17142e-007
recdev_early(1945)  -0.00972304 -1.28782e-006
recdev_early(1946)    0.0753562 -1.63313e-006
recdev_early(1947)     0.168486 -1.81234e-006
recdev_early(1948)     0.238919 -1.78997e-006
recdev_early(1949)     0.239215 -1.52451e-006
recdev_early(1950)     0.149295 -1.91226e-006
recdev_early(1951)    0.0050717 -1.31907e-006
recdev_early(1952)    -0.143678 -1.18679e-006
recdev_early(1953)    -0.264596 -1.65078e-006
recdev_early(1954)    -0.342047 -1.52069e-006
