ParName   Value   Gradient
MGparm[2]      8.53938 2.06015e-006
MGparm[3]      63.4253 -5.53788e-005
MGparm[4]    0.0651559 -1.90327e-005
MGparm[5]     0.189127 -1.59339e-006
MGparm[6]     0.054803 -4.20185e-006
MGparm[15]     0.593142 5.35661e-005
SR_parm[1]      5.23719 -0.000166132
recdev_early(1889)   -0.0159932 -2.03296e-006
recdev_early(1890)   -0.0165132 3.93625e-007
recdev_early(1891)   -0.0170467 -1.22079e-006
recdev_early(1892)   -0.0175967 -1.29778e-006
recdev_early(1893)   -0.0181587 -1.05264e-006
recdev_early(1894)   -0.0187386 -5.98819e-007
recdev_early(1895)   -0.0193363 -5.8374e-007
recdev_early(1896)   -0.0199537 4.36585e-007
recdev_early(1897)   -0.0205915 1.32747e-007
recdev_early(1898)   -0.0212441 4.00882e-007
recdev_early(1899)   -0.0219107 -3.39733e-007
recdev_early(1900)    -0.022612 8.40374e-006
recdev_early(1901)   -0.0233176 1.93777e-006
recdev_early(1902)   -0.0240195 -8.52009e-006
recdev_early(1903)   -0.0247825 7.65395e-007
recdev_early(1904)   -0.0255497 -6.23886e-006
recdev_early(1905)   -0.0263085 2.29179e-006
recdev_early(1906)   -0.0270571 -7.08849e-006
recdev_early(1907)   -0.0277498 4.67495e-006
recdev_early(1908)   -0.0284176 -9.90749e-006
recdev_early(1909)   -0.0290711 6.56001e-006
recdev_early(1910)   -0.0297061 -1.13464e-005
recdev_early(1911)    -0.030331 8.40658e-006
recdev_early(1912)   -0.0309666 -1.04273e-005
recdev_early(1913)   -0.0317062 4.11143e-006
recdev_early(1914)   -0.0326469 -2.04539e-006
recdev_early(1915)   -0.0339674 -8.96461e-008
recdev_early(1916)    -0.035828 -2.58068e-006
recdev_early(1917)   -0.0384482 -1.84063e-006
recdev_early(1918)   -0.0421107 -2.0687e-006
recdev_early(1919)   -0.0470892 -5.64989e-007
recdev_early(1920)   -0.0535825 -2.26782e-006
recdev_early(1921)   -0.0616578 -1.31913e-006
recdev_early(1922)   -0.0712511 -2.21827e-006
recdev_early(1923)   -0.0821443 3.63583e-007
recdev_early(1924)   -0.0939541 -2.24258e-006
recdev_early(1925)    -0.106142 -1.06981e-006
recdev_early(1926)    -0.118011 -6.78213e-007
recdev_early(1927)    -0.128735 -9.86601e-007
recdev_early(1928)    -0.137481 -4.34998e-006
recdev_early(1929)    -0.143525 -1.75483e-006
recdev_early(1930)    -0.146457 -2.85441e-006
recdev_early(1931)    -0.146462 -3.25575e-006
recdev_early(1932)    -0.144429 -9.60549e-007
recdev_early(1933)    -0.141892 -2.04611e-006
recdev_early(1934)    -0.140845 -3.52186e-007
recdev_early(1935)    -0.143043 -8.44959e-007
recdev_early(1936)    -0.149199 -1.5314e-006
recdev_early(1937)    -0.158397 -2.58884e-006
recdev_early(1938)    -0.168281 -3.02611e-006
recdev_early(1939)    -0.175765 -3.70953e-006
recdev_early(1940)    -0.178032 -2.59567e-006
recdev_early(1941)    -0.172795 -2.45038e-006
recdev_early(1942)    -0.157826 -2.20919e-006
recdev_early(1943)    -0.130118 -3.32645e-006
recdev_early(1944)   -0.0856025 -1.72919e-006
recdev_early(1945)   -0.0208588 -3.48264e-006
recdev_early(1946)    0.0632468 -1.61901e-006
recdev_early(1947)     0.155063 -3.0886e-006
recdev_early(1948)     0.224371 -3.69447e-006
recdev_early(1949)     0.224925 -4.00416e-006
recdev_early(1950)     0.136717 -4.40638e-006
recdev_early(1951)  -0.00580221 -2.61528e-006
recdev_early(1952)    -0.153474 -2.51662e-006
recdev_early(1953)    -0.273811 -2.91132e-006
recdev_early(1954)    -0.350999 -1.98801e-006
recdev_early(1955)    -0.378051 -4.53523e-006
recdev_early(1956)    -0.352751 -1.9192e-006
recdev_early(1957)    -0.280883 -3.14918e-006
recdev_early(1958)    -0.182628 -3.72927e-006
recdev_early(1959)    -0.096941 -2.16231e-006
recdev_early(1960)     -0.08947 -4.23468e-006
recdev_early(1961)    -0.201986 -3.50895e-006
recdev_early(1962)    -0.370106 -1.20228e-006
recdev_early(1963)    -0.493558 -2.9234e-006
recdev_early(1964)    -0.498387 -1.47897e-006
recdev_early(1965)    -0.359028 -1.97855e-006
recdev_early(1966)    -0.162469 -3.30509e-006
recdev_early(1967)   -0.0287802 -2.7801e-006
recdev_early(1968)     0.163306 -3.37123e-006
recdev_early(1969)     0.381771 -5.15732e-006
recdev_early(1970)     0.583899 -6.6935e-006
recdev_early(1971)      0.86143 -7.26386e-006
recdev_early(1972)     0.327611 -4.22843e-006
recdev_early(1973)    0.0252326 -3.59491e-006
recdev_early(1974)   -0.0294636 -3.47883e-006
recdev_early(1975)     0.293031 -4.30401e-006
recdev_early(1976)     0.215761 -2.54446e-006
recdev_early(1977)     0.148191 -3.08679e-006
recdev_early(1978)    -0.059425 8.16589e-007
recdev_early(1979)    0.0712166 1.15538e-006
recdev1(1980)     0.210183 -1.40718e-006
recdev1(1981)     0.467246 -4.05327e-006
recdev1(1982)      0.74816 -3.06806e-006
recdev1(1983)     0.381735 -3.12484e-006
recdev1(1984)     0.527011 -1.57478e-005
recdev1(1985)     0.145104 -6.07883e-006
recdev1(1986)    -0.134489 -7.14827e-006
recdev1(1987)    -0.228699 -4.63463e-006
recdev1(1988)    -0.364312 1.13438e-006
recdev1(1989)    -0.503946 -8.91883e-007
recdev1(1990)    -0.691126 5.80881e-007
recdev1(1991)    -0.833839 4.27364e-007
recdev1(1992)    -0.615491 9.96079e-007
recdev1(1993)     0.321182 6.24107e-006
recdev1(1994)  -0.00251184 4.22153e-006
recdev1(1995)    -0.755956 6.74644e-008
recdev1(1996)    -0.783111 2.08243e-006
recdev1(1997)    -0.597997 3.05833e-006
recdev1(1998)   -0.0646164 5.24245e-006
recdev1(1999)     0.585927 6.05509e-006
recdev1(2000)    -0.113215 -3.54215e-007
recdev1(2001)     0.159934 9.07116e-007
recdev1(2002)      1.14915 6.88238e-006
recdev1(2003)     0.402477 1.47369e-006
recdev1(2004)    -0.392681   8.895e-007
recdev1(2005)    -0.150228 1.69232e-007
recdev1(2006)    0.0808203 5.19835e-008
recdev1(2007)     0.300917 -5.59592e-007
recdev1(2008)     0.711498 2.54472e-006
recdev1(2009)     0.393785  1.0005e-006
recdev1(2010)     0.447507 -1.55109e-007
recdev1(2011)     0.373683 -4.06392e-007
recdev1(2012)    -0.321369 3.35391e-007
recdev1(2013)    -0.311298 -8.91074e-007
recdev1(2014)    -0.338633 1.82107e-006
recdev1(2015)    -0.202808 2.15044e-006
Fcast_recruitments(2016)            0            0
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_impl_error(2017)            0            0
Fcast_impl_error(2018)            0            0
Fcast_impl_error(2019)            0            0
Fcast_impl_error(2020)            0            0
Fcast_impl_error(2021)            0            0
Fcast_impl_error(2022)            0            0
Fcast_impl_error(2023)            0            0
Fcast_impl_error(2024)            0            0
Fcast_impl_error(2025)            0            0
Fcast_impl_error(2026)            0            0
Fcast_impl_error(2027)            0            0
Fcast_impl_error(2028)            0            0
Q_parm[2]     0.122059 -2.48711e-007
Q_parm[4]     0.105175 -4.70119e-006
Q_parm[6]     0.384372 -2.97641e-006
Q_parm[8]    0.0753875 6.54256e-007
Q_parm[10]     0.200351 2.34237e-007
Q_parm[12]     0.121365 -9.22934e-007
Q_parm[16]     0.127127 -1.22658e-007
Q_parm[17]    -0.211411 -2.12707e-006
selparm[1]      46.3006 -2.85187e-006
selparm[3]      5.12484  3.7245e-006
selparm[4]      18.4273 1.18934e-006
selparm[7]      43.4412 -2.70747e-006
selparm[9]      5.03228 4.04006e-006
selparm[10]       16.921 1.84558e-006
selparm[13]      43.6711 -4.61072e-006
selparm[15]       5.3202 9.14037e-006
selparm[19]      49.6245 -2.90144e-006
selparm[21]      5.79543 1.26693e-005
selparm[22]      17.8494 4.62611e-007
selparm[25]      51.1619 -6.3093e-006
selparm[27]      5.47525 1.25558e-005
selparm[31]      37.7299 -3.28375e-006
selparm[33]      4.24549 3.18096e-006
selparm[37]      44.1578 -6.25159e-008
selparm[39]      4.46825 5.43132e-007
selparm[43]      33.3298 -8.82422e-007
selparm[45]      4.40572 6.81736e-007
selparm[49]      79.9745 1.33535e-006
selparm[51]      6.98605  2.0088e-006
selparm[55]      55.4258 -1.34474e-007
selparm[57]      6.44617 3.31761e-006
selparm[61]      54.8027 -1.38844e-006
selparm[63]      4.24748 3.05826e-006
