ParName   Value   Gradient
MGparm[2]      8.92016 -3.70308e-006
MGparm[3]      63.2228 -4.11411e-005
MGparm[4]    0.0645001 -5.12236e-005
MGparm[5]     0.185838 1.53223e-006
MGparm[6]    0.0548416  1.4395e-005
SR_parm[1]      5.38502 -3.54372e-005
recdev_early(1889)   -0.0380824 -5.08983e-006
recdev_early(1890)   -0.0393408 -2.36284e-006
recdev_early(1891)    -0.040637 -2.80076e-006
recdev_early(1892)    -0.041975 3.71373e-006
recdev_early(1893)   -0.0433509 -2.66943e-006
recdev_early(1894)   -0.0447722 7.12886e-006
recdev_early(1895)   -0.0462409 -6.3254e-006
recdev_early(1896)    -0.047757 7.63789e-006
recdev_early(1897)   -0.0493237 -8.21944e-006
recdev_early(1898)   -0.0509339 4.31506e-006
recdev_early(1899)   -0.0525895 1.35566e-006
recdev_early(1900)   -0.0543084 -1.05287e-005
recdev_early(1901)   -0.0560543 8.06485e-006
recdev_early(1902)   -0.0578244 6.18653e-007
recdev_early(1903)   -0.0596908 -1.0167e-005
recdev_early(1904)   -0.0615887 1.79164e-006
recdev_early(1905)   -0.0635035 5.40469e-006
recdev_early(1906)   -0.0654336 -9.25636e-006
recdev_early(1907)   -0.0673258 2.29379e-007
recdev_early(1908)   -0.0692129 1.02024e-006
recdev_early(1909)   -0.0710995 -4.17877e-006
recdev_early(1910)   -0.0729719 -1.33328e-006
recdev_early(1911)   -0.0748283 7.86071e-006
recdev_early(1912)   -0.0766781 -1.16762e-005
recdev_early(1913)   -0.0786023 4.10416e-006
recdev_early(1914)   -0.0806767 4.64444e-006
recdev_early(1915)   -0.0830619 -1.18455e-005
recdev_early(1916)   -0.0858933 6.41933e-006
recdev_early(1917)     -0.08937 -6.56275e-006
recdev_early(1918)    -0.093708 4.00002e-006
recdev_early(1919)     -0.09918 -3.2901e-006
recdev_early(1920)    -0.105975 -1.26753e-006
recdev_early(1921)    -0.114144 -4.98633e-006
recdev_early(1922)    -0.123618 3.54355e-006
recdev_early(1923)    -0.134189 5.67511e-006
recdev_early(1924)    -0.145494 -1.61232e-006
recdev_early(1925)    -0.157022 -4.5177e-007
recdev_early(1926)    -0.168112 1.22051e-006
recdev_early(1927)    -0.177979 -2.51777e-006
recdev_early(1928)    -0.185825 7.93259e-007
recdev_early(1929)    -0.190963 -3.88529e-006
recdev_early(1930)     -0.19301 -2.90753e-006
recdev_early(1931)     -0.19217 -2.62762e-006
recdev_early(1932)    -0.189333 3.93848e-006
recdev_early(1933)    -0.186002 -8.26647e-007
recdev_early(1934)    -0.184116 -9.3625e-008
recdev_early(1935)    -0.185343 1.88482e-006
recdev_early(1936)    -0.190312 -2.60379e-007
recdev_early(1937)     -0.19805 2.34577e-006
recdev_early(1938)    -0.206218 1.46667e-006
recdev_early(1939)      -0.2118 -1.1376e-006
recdev_early(1940)    -0.212072 2.23678e-006
recdev_early(1941)    -0.204825 1.16549e-006
recdev_early(1942)    -0.187904  5.2046e-006
recdev_early(1943)    -0.158383 -2.58321e-006
recdev_early(1944)    -0.112313 5.01351e-007
recdev_early(1945)   -0.0464647  2.4989e-006
recdev_early(1946)    0.0381428  1.1821e-006
recdev_early(1947)     0.129985 1.89241e-006
recdev_early(1948)     0.199846 4.94682e-006
recdev_early(1949)     0.203469 5.55302e-006
recdev_early(1950)     0.120769  2.7085e-006
recdev_early(1951)   -0.0159733 1.50711e-006
recdev_early(1952)    -0.158334 6.53434e-007
