"","Label","Type","Reference","M: Fix to 2009","M: Fix to prior","M: Fix to Hamel","M: Fix to VBGF","M: Fix to OR","VBGF 2009","VBGF Grebel","OR maturity","Est. h","All rec devs","No rec devs","High bias adj.","Harmonic mean","Dirichlet","Wts = 1","No blocks","First blocks in 2000","Alt rec catches"
"141",NA,"Size_DblN_ascend_se_FISHERY1(1)",3.20635,3.20635,3.20635,3.20635,3.20635,3.20635,3.20635,3.20635,3.20635,3.20635,3.20635,3.20635,3.20635,3.20635,3.20635,3.20635,3.20635,3.20635,3.20635
"142",NA,"Size_DblN_descend_se_FISHERY1(1)",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"143",NA,"Size_DblN_start_logit_FISHERY1(1)",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"144",NA,"Size_DblN_end_logit_FISHERY1(1)",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"145",NA,"Size_DblN_peak_FISHERY2(2)",37.0661,37.2788,36.3239,37.0766,37.255,37.0678,37.8837,35.4684,37.3474,36.993,37.1625,37.6948,37.2398,39.0352,37.1197,39.1381,43.4414,35.1257,37.3326
"146",NA,"Size_DblN_top_logit_FISHERY2(2)",-1.5837,-2.74987,-2.08917,-2.69618,-1.60592,-2.6936,-2.90841,-1.67636,-2.26635,-1.8566,-1.87778,-2.84656,-2.72876,-2.63802,-0.772435,-2.68246,-3.26217,-1.63611,-2.76071
"147",NA,"Size_DblN_ascend_se_FISHERY2(2)",2.26749,0.832675,1.98026,1.38618,1.94222,1.40787,0.854608,1.7558,1.60948,2.19123,2.11808,0.915756,1.05794,1.40217,1.87196,0.516137,3.68972,2.33792,0.789425
"148",NA,"Size_DblN_descend_se_FISHERY2(2)",-2.13962,-2.75501,-2.32795,-2.71781,-2.14852,-2.71504,-2.77163,-2.1694,-2.42486,-2.23452,-2.24126,-2.71991,-2.70104,-2.66464,-2.02686,-2.74996,3.2472,-2.15328,-2.74817
"149",NA,"Size_DblN_start_logit_FISHERY2(2)",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"150",NA,"Size_DblN_end_logit_FISHERY2(2)",-2.73132,-3.47578,-3.03689,-3.31414,-2.9956,-3.30385,-3.34066,-3.41799,-3.20564,-2.97205,-2.94223,-3.03599,-3.38632,-3.35467,-2.29303,-3.77964,-2.19274,-3.08383,-3.35985
"151",NA,"Size_DblN_peak_FISHERY3(3)",38.2651,37.8637,39.9763,38.2222,39.5798,38.2667,44.6055,16.4479,38.9812,38.2559,38.2817,39.0368,38.9747,39.8559,40.2523,39.9353,38.7982,38.2439,40.0279
"152",NA,"Size_DblN_top_logit_FISHERY3(3)",-4.62933,-1.678,-4.27911,-0.926542,-1.00213,-0.407314,-0.391842,-0.939929,-2.06735,-4.61927,-4.64707,-1.04798,-1.81823,-4.10973,-3.09114,-1.11763,-3.41748,-4.60778,-4.33326
"153",NA,"Size_DblN_ascend_se_FISHERY3(3)",5.77589,5.98114,5.87592,5.96288,5.83813,5.96113,6.70834,8.29991,5.90293,5.7891,5.74654,5.91764,5.89563,5.83562,5.8864,5.82552,5.9971,5.78049,5.8927
"154",NA,"Size_DblN_descend_se_FISHERY3(3)",-4.8393,-2.17823,-4.1961,-1.99907,-2.00122,-1.99691,-1.99399,-2.18635,-2.12282,-4.80989,-4.89493,-2.00694,-2.23638,-4.13404,-3.12194,-2.0178,-3.27667,-4.76986,-4.27629
"155",NA,"Size_DblN_start_logit_FISHERY3(3)",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"156",NA,"Size_DblN_end_logit_FISHERY3(3)",0.257696,2.32161,0.49471,6.65747,6.44893,6.33223,5.92215,0.377097,2.17947,0.221759,0.291176,6.47043,2.1377,0.445585,0.81553,5.74344,0.0396843,0.2173,0.486024
"157",NA,"Size_DblN_peak_FISHERY4(4)",34.4113,34.2777,34.9904,34.53,35.3674,34.5532,36.382,44.9246,34.9322,34.5626,34.3823,34.3445,34.9509,34.9137,34.9921,35.052,41.3626,33.4366,34.7505
"158",NA,"Size_DblN_top_logit_FISHERY4(4)",-0.980825,-0.968326,-0.974988,-0.951701,-0.983987,-0.951635,-0.989903,-1.00361,-0.977579,-0.979927,-0.982562,-0.974636,-0.977404,-0.971273,-0.960641,-0.965937,-1.03411,-0.974423,-0.982015
"159",NA,"Size_DblN_ascend_se_FISHERY4(4)",4.22364,4.22544,4.26866,4.24981,4.28212,4.25162,4.45161,6.17949,4.26569,4.24009,4.20938,4.23207,4.26583,4.24085,4.23177,4.21922,4.90642,4.12927,4.24946
"160",NA,"Size_DblN_descend_se_FISHERY4(4)",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"161",NA,"Size_DblN_start_logit_FISHERY4(4)",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"162",NA,"Size_DblN_end_logit_FISHERY4(4)",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"163",NA,"SizeSel_P1_SURVEY1(5)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"164",NA,"SizeSel_P2_SURVEY1(5)",44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
"165",NA,"Size_DblN_peak_FISHERY2(2)_BLK1repl_2000",43.6382,44.1737,43.7529,44.9375,42.9114,44.9427,43.6441,43.5485,43.7122,43.5949,43.6559,43.9569,43.7243,43.6341,42.5355,44.0977,NA,43.6221,43.6175
"166",NA,"Size_DblN_top_logit_FISHERY2(2)_BLK1repl_2000",-3.25493,-3.20019,-3.22722,-3.30421,-1.35224,-3.30576,-1.73638,-2.08915,-3.22332,-3.26531,-3.24954,-3.18167,-3.22202,-3.2968,-4.41125,-2.99663,NA,-3.25972,-3.23324
"167",NA,"Size_DblN_ascend_se_FISHERY2(2)_BLK1repl_2000",3.65035,3.74776,3.63895,3.85248,3.48516,3.85161,3.59094,3.58334,3.62783,3.65613,3.64143,3.66077,3.62846,3.60944,3.1597,3.57413,NA,3.64886,3.61146
"168",NA,"Size_DblN_descend_se_FISHERY2(2)_BLK1repl_2000",3.16553,3.08995,3.11969,3.08602,-2.03067,3.08558,-2.0988,-2.16555,3.11548,3.18251,3.15313,3.06063,3.11261,3.1737,4.07307,2.70294,NA,3.17675,3.12806
"169",NA,"Size_DblN_end_logit_FISHERY2(2)_BLK1repl_2000",-1.87142,-1.71567,-1.73779,-1.48624,-1.79768,-1.48127,-1.45693,-1.1887,-1.7127,-1.92175,-1.83207,-1.58154,-1.70799,-1.72021,-1.03555,-0.772155,NA,-1.91487,-1.7208
"170",NA,"Size_DblN_peak_FISHERY4(4)_BLK2repl_2004",43.4778,44.8725,44.0696,47.342,43.7771,47.3737,44.8119,44.0418,44.0763,43.3146,43.6096,44.63,44.111,43.8503,44.0835,45.2551,NA,NA,43.8692
"171",NA,"Size_DblN_top_logit_FISHERY4(4)_BLK2repl_2004",-2.07461,-1.91064,-1.99941,-0.640777,-1.89558,-0.634163,-1.98347,-2.0196,-1.98648,-2.08519,-2.06458,-1.92952,-1.98067,-2.18803,-0.0338458,-0.134274,NA,NA,-2.00025
"172",NA,"Size_DblN_ascend_se_FISHERY4(4)_BLK2repl_2004",4.53098,4.68905,4.54739,4.89809,4.45029,4.8986,4.58718,4.54363,4.54045,4.52984,4.52851,4.59969,4.54281,4.47928,4.45715,4.50609,NA,NA,4.51861
"173",NA,"Main_RecrDev_1916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00452993,NA,NA,NA,NA,NA,NA,NA,NA
"174",NA,"Main_RecrDev_1917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00457867,NA,NA,NA,NA,NA,NA,NA,NA
"175",NA,"Main_RecrDev_1918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00463663,NA,NA,NA,NA,NA,NA,NA,NA
"176",NA,"Main_RecrDev_1919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00470596,NA,NA,NA,NA,NA,NA,NA,NA
"177",NA,"Main_RecrDev_1920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00478842,NA,NA,NA,NA,NA,NA,NA,NA
"178",NA,"Main_RecrDev_1921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00488643,NA,NA,NA,NA,NA,NA,NA,NA
"179",NA,"Main_RecrDev_1922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00500293,NA,NA,NA,NA,NA,NA,NA,NA
"180",NA,"Main_RecrDev_1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00514174,NA,NA,NA,NA,NA,NA,NA,NA
"181",NA,"Main_RecrDev_1924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00530708,NA,NA,NA,NA,NA,NA,NA,NA
"182",NA,"Main_RecrDev_1925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00550349,NA,NA,NA,NA,NA,NA,NA,NA
"183",NA,"Main_RecrDev_1926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00573675,NA,NA,NA,NA,NA,NA,NA,NA
"184",NA,"Main_RecrDev_1927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00601438,NA,NA,NA,NA,NA,NA,NA,NA
"185",NA,"Main_RecrDev_1928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00634394,NA,NA,NA,NA,NA,NA,NA,NA
"186",NA,"Main_RecrDev_1929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00673552,NA,NA,NA,NA,NA,NA,NA,NA
"187",NA,"Main_RecrDev_1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00720035,NA,NA,NA,NA,NA,NA,NA,NA
"188",NA,"Main_RecrDev_1931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00775158,NA,NA,NA,NA,NA,NA,NA,NA
"189",NA,"Main_RecrDev_1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00840478,NA,NA,NA,NA,NA,NA,NA,NA
"190",NA,"Main_RecrDev_1933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00917886,NA,NA,NA,NA,NA,NA,NA,NA
"191",NA,"Main_RecrDev_1934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0100969,NA,NA,NA,NA,NA,NA,NA,NA
"192",NA,"Main_RecrDev_1935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0111865,NA,NA,NA,NA,NA,NA,NA,NA
"193",NA,"Main_RecrDev_1936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0124809,NA,NA,NA,NA,NA,NA,NA,NA
"194",NA,"Main_RecrDev_1937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.014012,NA,NA,NA,NA,NA,NA,NA,NA
"195",NA,"Main_RecrDev_1938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0158218,NA,NA,NA,NA,NA,NA,NA,NA
"196",NA,"Main_RecrDev_1939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0179499,NA,NA,NA,NA,NA,NA,NA,NA
"197",NA,"Main_RecrDev_1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0204628,NA,NA,NA,NA,NA,NA,NA,NA
"198",NA,"Main_RecrDev_1941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0234112,NA,NA,NA,NA,NA,NA,NA,NA
"199",NA,"Main_RecrDev_1942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0268402,NA,NA,NA,NA,NA,NA,NA,NA
"200",NA,"Main_RecrDev_1943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0308063,NA,NA,NA,NA,NA,NA,NA,NA
"201",NA,"Main_RecrDev_1944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0353744,NA,NA,NA,NA,NA,NA,NA,NA
"202",NA,"Main_RecrDev_1945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0406517,NA,NA,NA,NA,NA,NA,NA,NA
"203",NA,"Main_RecrDev_1946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0467666,NA,NA,NA,NA,NA,NA,NA,NA
"204",NA,"Main_RecrDev_1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0538611,NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,"Main_RecrDev_1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0619962,NA,NA,NA,NA,NA,NA,NA,NA
"206",NA,"Main_RecrDev_1949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0714445,NA,NA,NA,NA,NA,NA,NA,NA
"207",NA,"Main_RecrDev_1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0828171,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,"Main_RecrDev_1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0977365,NA,NA,NA,NA,NA,NA,NA,NA
"209",NA,"Main_RecrDev_1952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.119382,NA,NA,NA,NA,NA,NA,NA,NA
"210",NA,"Main_RecrDev_1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.152584,NA,NA,NA,NA,NA,NA,NA,NA
"211",NA,"Main_RecrDev_1954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.201869,NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,"Main_RecrDev_1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.261779,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,"Main_RecrDev_1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.302716,NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,"Main_RecrDev_1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.239782,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,"Main_RecrDev_1958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0482189,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,"Main_RecrDev_1959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565457,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,"Main_RecrDev_1960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.699158,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,"Main_RecrDev_1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345018,NA,NA,NA,NA,NA,NA,NA,NA
"219",NA,"Main_RecrDev_1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162304,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,"Main_RecrDev_1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0248753,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,"Main_RecrDev_1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.118365,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,"Main_RecrDev_1965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.153911,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,"Main_RecrDev_1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.060038,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,"Main_RecrDev_1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0861008,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,"Main_RecrDev_1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236535,NA,NA,NA,NA,NA,NA,NA,NA
"226",NA,"Main_RecrDev_1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286689,NA,NA,NA,NA,NA,NA,NA,NA
"227",NA,"ln(EffN_mult)_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.63011,NA,NA,NA,NA
"228",NA,"ln(EffN_mult)_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7799,NA,NA,NA,NA
"229",NA,"ln(EffN_mult)_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2131,NA,NA,NA,NA
"230",NA,"Size_DblN_peak_FISHERY4(4)_BLK2repl_2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.6745,NA
"231",NA,"Size_DblN_top_logit_FISHERY4(4)_BLK2repl_2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.05902,NA
"232",NA,"Size_DblN_ascend_se_FISHERY4(4)_BLK2repl_2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.629,NA
"8","Derived quantities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",NA,"SB0",261.801,233.461,248.79,210.808,247.707,211.17,264.166,241.794,179.294,239.002,249.066,262.646,251.516,241.748,236.564,241.649,222.091,267.334,212.44
"234",NA,"SSB_2019",140.784,127.125,150.499,134.815,104.563,135.466,131.188,134.281,87.7962,144.007,135.641,200.366,129.436,124.928,99.8642,31.2414,90.3953,145.733,100.363
"235",NA,"Bratio_2019",0.537754,0.544524,0.604926,0.639515,0.422123,0.641498,0.496611,0.555352,0.489677,0.602534,0.5446,0.762876,0.514622,0.516767,0.422145,0.129284,0.40702,0.545137,0.472432
"236",NA,"MSY_SPR",24.4855,24.8871,28.5235,33.3988,21.4052,33.7464,23.3637,24.7704,22.9192,24.5242,25.0174,27.2634,26.6918,22.3911,19.6726,16.9583,20.9442,25.0155,19.0986
"237",NA,"F_SPR",0.126447,0.129543,0.141515,0.1504,0.133129,0.15104,0.109981,0.14758,0.109815,0.122374,0.13194,0.134034,0.137574,0.130662,0.127185,0.12327,0.12355,0.12588,0.12741
