ParName   Value   Gradient
MGparm[2]      8.60184 1.22379e-005
MGparm[3]      63.4636  0.000199118
MGparm[4]    0.0649414   0.00010624
MGparm[5]     0.191245 3.77502e-006
MGparm[6]    0.0544567 -2.01684e-006
MGparm[15]     0.406374 -5.51904e-005
SR_parm[1]      5.38166  0.000340876
recdev_early(1889)   -0.0146338 2.27487e-007
recdev_early(1890)    -0.015113 7.57272e-007
recdev_early(1891)   -0.0156038 1.25632e-006
recdev_early(1892)   -0.0161092 1.29505e-006
recdev_early(1893)   -0.0166246 9.65021e-007
recdev_early(1894)   -0.0171555 9.32208e-007
recdev_early(1895)   -0.0177013  5.8834e-007
recdev_early(1896)   -0.0182631 1.97176e-006
recdev_early(1897)   -0.0188413 6.13015e-007
recdev_early(1898)   -0.0194297 3.69495e-006
recdev_early(1899)   -0.0200242 2.58935e-007
recdev_early(1900)   -0.0206553 3.84909e-006
recdev_early(1901)    -0.021295 7.08429e-007
recdev_early(1902)   -0.0219418 2.40998e-006
recdev_early(1903)   -0.0226436 2.12217e-006
recdev_early(1904)   -0.0233562 1.74972e-006
recdev_early(1905)   -0.0240743 2.95745e-006
recdev_early(1906)     -0.02481 3.19625e-006
recdev_early(1907)   -0.0255331 3.30582e-006
recdev_early(1908)   -0.0262874 4.36512e-006
recdev_early(1909)   -0.0270935  2.0979e-006
recdev_early(1910)   -0.0279373 2.28413e-006
recdev_early(1911)   -0.0287915 -6.02468e-006
recdev_early(1912)   -0.0295751 -7.71858e-006
recdev_early(1913)   -0.0302227 -2.61213e-006
recdev_early(1914)   -0.0306018 1.30836e-005
recdev_early(1915)    -0.030628  1.6287e-005
recdev_early(1916)   -0.0302021 -5.15157e-006
recdev_early(1917)   -0.0294219 -3.03199e-008
recdev_early(1918)   -0.0287435 9.83483e-006
recdev_early(1919)   -0.0289838 5.39708e-006
recdev_early(1920)   -0.0312911 1.73203e-006
recdev_early(1921)   -0.0369484 3.53354e-006
recdev_early(1922)   -0.0470174 4.55525e-006
recdev_early(1923)    -0.061865 4.09989e-006
recdev_early(1924)   -0.0808117 3.03085e-006
recdev_early(1925)    -0.102131 3.54739e-006
recdev_early(1926)    -0.123397 6.76343e-006
recdev_early(1927)    -0.142065 4.52889e-006
recdev_early(1928)    -0.156049 5.01601e-006
recdev_early(1929)    -0.164038 3.31486e-006
recdev_early(1930)    -0.165584 5.69565e-006
recdev_early(1931)    -0.161119 5.10301e-006
recdev_early(1932)      -0.1518 6.47025e-006
recdev_early(1933)    -0.139389 3.62949e-006
recdev_early(1934)    -0.126428 6.46763e-006
recdev_early(1935)    -0.116048 3.39873e-006
recdev_early(1936)    -0.111345 4.87429e-006
recdev_early(1937)    -0.114267 5.11983e-006
recdev_early(1938)    -0.124652 6.36269e-006
recdev_early(1939)    -0.140005 6.86952e-006
recdev_early(1940)    -0.156345  6.3561e-006
recdev_early(1941)    -0.168815 5.76111e-006
recdev_early(1942)    -0.171724 7.14164e-006
recdev_early(1943)    -0.158383 5.28278e-006
recdev_early(1944)     -0.12133 4.43443e-006
recdev_early(1945)   -0.0540244 6.16178e-006
recdev_early(1946)    0.0460509 5.12508e-006
recdev_early(1947)      0.17001 4.09949e-006
recdev_early(1948)     0.280916 3.98108e-006
recdev_early(1949)     0.299341 3.22016e-006
recdev_early(1950)     0.186563 4.76818e-006
recdev_early(1951)    0.0120342  5.3109e-006
recdev_early(1952)     -0.15396 6.49043e-006
recdev_early(1953)    -0.279726 6.50402e-006
recdev_early(1954)     -0.35393 7.35861e-006
recdev_early(1955)    -0.372572 7.34437e-006
recdev_early(1956)    -0.335167 8.30919e-006
recdev_early(1957)    -0.248762 7.86098e-006
recdev_early(1958)    -0.137542 7.45666e-006
recdev_early(1959)   -0.0520155 4.91271e-006
recdev_early(1960)   -0.0629573 5.23086e-006
recdev_early(1961)    -0.189872 4.62919e-006
recdev_early(1962)    -0.358624  6.2486e-006
recdev_early(1963)    -0.480746 8.49185e-006
recdev_early(1964)    -0.489814 8.77874e-006
recdev_early(1965)    -0.356364 1.19703e-005
recdev_early(1966)    -0.150911 7.47241e-006
recdev_early(1967)   -0.0167497 9.24181e-006
recdev_early(1968)     0.177671 9.28946e-006
recdev_early(1969)     0.403622 1.12621e-005
recdev_early(1970)     0.492634 1.19118e-005
recdev_early(1971)     0.877795 1.69422e-005
recdev_early(1972)     0.361734 1.14181e-005
recdev_early(1973)   -0.0207472 7.39495e-006
recdev_early(1974)    -0.102633 8.61139e-006
recdev_early(1975)     0.285638 9.55742e-006
recdev_early(1976)     0.220885 7.56197e-006
recdev_early(1977)      0.13416 4.31502e-006
recdev_early(1978)   -0.0479682 1.96218e-006
recdev_early(1979)   -0.0363505 3.08406e-006
recdev1(1980)     0.240798 8.10767e-006
recdev1(1981)     0.306413 2.40265e-006
recdev1(1982)     0.838974 -8.1407e-006
recdev1(1983)     0.295966 -7.07196e-006
recdev1(1984)     0.514974 -1.20514e-005
recdev1(1985)     0.127358 -7.82336e-007
recdev1(1986)    -0.138502 -4.17036e-006
recdev1(1987)     -0.23441 -1.21572e-006
recdev1(1988)    -0.364879 -1.23044e-006
recdev1(1989)    -0.484029 1.27719e-005
recdev1(1990)    -0.683067 1.57951e-005
recdev1(1991)    -0.864379 6.20474e-006
recdev1(1992)    -0.678241 2.29323e-006
recdev1(1993)     0.345676 -1.04659e-005
recdev1(1994)   0.00336984 -8.71128e-007
recdev1(1995)    -0.741868 -1.39242e-006
recdev1(1996)    -0.765016 -1.28087e-006
recdev1(1997)     -0.58507 -2.01088e-006
recdev1(1998)   -0.0513534 -6.32945e-006
recdev1(1999)     0.547354 -1.52808e-005
recdev1(2000)    -0.123666  3.5969e-007
recdev1(2001)     0.313831 -6.20267e-007
recdev1(2002)      1.06956 -7.33107e-007
recdev1(2003)     0.462028 -1.8107e-006
recdev1(2004)    -0.379297 5.09163e-006
recdev1(2005)    -0.160422  2.8162e-006
recdev1(2006)    0.0480444 2.52207e-006
recdev1(2007)      0.35224 2.67284e-006
recdev1(2008)     0.697047 1.22812e-006
recdev1(2009)     0.378639 2.32515e-006
recdev1(2010)     0.423624  6.2981e-007
recdev1(2011)     0.392359 -1.51975e-006
recdev1(2012)    -0.284465 4.03162e-006
recdev1(2013)     -0.30237 3.58241e-006
recdev1(2014)    -0.326882 1.66111e-006
recdev1(2015)    -0.190344 2.47453e-006
Fcast_recruitments(2016)            0            0
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_impl_error(2017)            0            0
Fcast_impl_error(2018)            0            0
Fcast_impl_error(2019)            0            0
Fcast_impl_error(2020)            0            0
Fcast_impl_error(2021)            0            0
Fcast_impl_error(2022)            0            0
Fcast_impl_error(2023)            0            0
Fcast_impl_error(2024)            0            0
Fcast_impl_error(2025)            0            0
Fcast_impl_error(2026)            0            0
Fcast_impl_error(2027)            0            0
Fcast_impl_error(2028)            0            0
Q_parm[2]     0.120475 1.12935e-007
Q_parm[4]     0.106052 -1.99172e-006
Q_parm[6]     0.388994 -1.18643e-006
Q_parm[8]     0.111803 8.93082e-007
Q_parm[10]     0.199527 1.54052e-007
Q_parm[12]     0.119582 -2.3436e-007
Q_parm[16]     0.125174 5.65495e-007
Q_parm[17]     -0.18511 3.21632e-006
selparm[1]       46.394 1.24279e-005
selparm[3]      5.13423 -4.7752e-005
selparm[4]      18.3767 9.12557e-008
selparm[7]      44.0051  5.4936e-006
selparm[9]      5.08728 -9.37017e-006
selparm[10]      16.3696 -1.4238e-007
selparm[13]      43.5229 1.37274e-005
selparm[15]      5.31306 -2.93474e-005
selparm[19]      52.8875 2.47356e-006
selparm[21]      5.98624 -7.54732e-006
selparm[22]      17.5806  4.6662e-008
selparm[25]      51.5513 6.01712e-006
selparm[27]      5.49168 -1.35426e-005
selparm[31]      37.7593 1.11184e-005
selparm[33]      4.24336 -9.85392e-006
selparm[37]      32.1029 -0.000110659
selparm[39]      0.26847 1.22013e-005
selparm[43]      33.6283 -2.6732e-006
selparm[45]        4.444 8.84407e-007
selparm[49]      79.9733 1.19797e-007
selparm[51]      6.99693 -1.24668e-006
selparm[55]      55.8042 3.19048e-007
selparm[57]      6.44966 -1.22635e-005
selparm[61]      54.6954 1.38915e-005
selparm[63]      4.22587 -2.55683e-005
