ParName   Value   Gradient
MGparm[2]      4.61068 9.08276e-005
MGparm[3]      62.7196  -0.00187429
MGparm[4]    0.0758151 -0.000454015
MGparm[5]     0.215497 -6.82337e-005
MGparm[6]    0.0465411 -6.32252e-005
MGparm[15]      1.40905   0.00425087
SR_parm[1]      6.09074  -0.00464532
recdev_early(1889)    0.0107297 -1.51237e-005
recdev_early(1890)    0.0110892 -1.52796e-005
recdev_early(1891)     0.011471 -1.80155e-005
recdev_early(1892)    0.0118645 -1.84966e-005
recdev_early(1893)    0.0122762 -1.89405e-005
recdev_early(1894)    0.0126981 -1.98285e-005
recdev_early(1895)    0.0131331 -2.03659e-005
recdev_early(1896)     0.013597 -2.15317e-005
recdev_early(1897)    0.0140728 -2.06539e-005
recdev_early(1898)    0.0145674 -2.05467e-005
recdev_early(1899)    0.0151019 -1.99693e-005
recdev_early(1900)    0.0156566 -2.00738e-005
recdev_early(1901)    0.0162502 -2.29551e-005
recdev_early(1902)    0.0168889 -2.62492e-005
recdev_early(1903)    0.0175178 -2.53924e-005
recdev_early(1904)    0.0181995 -2.51009e-005
recdev_early(1905)    0.0189449 -2.58513e-005
recdev_early(1906)    0.0197567 -3.01902e-005
recdev_early(1907)    0.0206662 -3.07137e-005
recdev_early(1908)     0.021664 -3.2197e-005
recdev_early(1909)    0.0227353 -3.63478e-005
recdev_early(1910)    0.0238653 -3.87946e-005
recdev_early(1911)    0.0250453 -3.98102e-005
recdev_early(1912)    0.0262404 -4.17768e-005
recdev_early(1913)    0.0273286 -4.57526e-005
recdev_early(1914)    0.0282371 -4.80253e-005
recdev_early(1915)    0.0287613 -5.18404e-005
recdev_early(1916)     0.028681 -5.05703e-005
recdev_early(1917)    0.0278045 -4.69059e-005
recdev_early(1918)    0.0257646 -4.91432e-005
recdev_early(1919)    0.0222621 -4.6798e-005
recdev_early(1920)    0.0172595 -4.43997e-005
recdev_early(1921)    0.0107258 -4.53505e-005
recdev_early(1922)   0.00262582 -5.1451e-005
recdev_early(1923)  -0.00679554 -5.50433e-005
recdev_early(1924)   -0.0170757 -6.14305e-005
recdev_early(1925)   -0.0275497 -6.20299e-005
recdev_early(1926)   -0.0374868 -6.57283e-005
recdev_early(1927)   -0.0459789 -6.6689e-005
recdev_early(1928)   -0.0520513 -6.72034e-005
recdev_early(1929)   -0.0550447 -6.87504e-005
recdev_early(1930)   -0.0546545 -7.30664e-005
recdev_early(1931)   -0.0513041 -7.49154e-005
recdev_early(1932)   -0.0462113 -7.13378e-005
recdev_early(1933)   -0.0412549 -7.02938e-005
recdev_early(1934)   -0.0388001 -7.06304e-005
recdev_early(1935)   -0.0407907 -7.29703e-005
recdev_early(1936)   -0.0476636 -7.48692e-005
recdev_early(1937)   -0.0579457 -7.78754e-005
recdev_early(1938)   -0.0687229 -7.61538e-005
recdev_early(1939)   -0.0765893 -7.72613e-005
recdev_early(1940)   -0.0787843 -8.08058e-005
recdev_early(1941)   -0.0734907 -8.36584e-005
recdev_early(1942)   -0.0591347 -9.25623e-005
recdev_early(1943)   -0.0332494 -8.80957e-005
recdev_early(1944)   0.00823932 -9.57746e-005
recdev_early(1945)    0.0700624 -9.06677e-005
recdev_early(1946)     0.153857 -0.000108362
recdev_early(1947)     0.250771 -0.000101863
recdev_early(1948)     0.328395 -0.000134405
recdev_early(1949)      0.32739 -0.000119391
recdev_early(1950)     0.221183 -0.000117607
recdev_early(1951)    0.0566828 -6.50015e-005
recdev_early(1952)     -0.11062 -6.06798e-005
recdev_early(1953)    -0.249955 -8.90404e-005
recdev_early(1954)    -0.348282 -7.41023e-005
recdev_early(1955)    -0.400104 -7.24761e-005
recdev_early(1956)    -0.402704 -5.34791e-005
recdev_early(1957)    -0.359887 -5.73014e-005
recdev_early(1958)    -0.289748 -5.57332e-005
recdev_early(1959)    -0.228206 -4.79606e-005
recdev_early(1960)    -0.233164 -4.68182e-005
recdev_early(1961)    -0.346199 -3.9092e-005
recdev_early(1962)    -0.517411 -2.33979e-005
recdev_early(1963)    -0.651425 -2.34229e-005
recdev_early(1964)    -0.669306 -2.69986e-005
recdev_early(1965)    -0.537233 -2.14551e-005
recdev_early(1966)    -0.328889 -2.93533e-005
recdev_early(1967)    -0.175214 -1.05059e-005
recdev_early(1968)    0.0271677 -5.20032e-005
recdev_early(1969)     0.290438 -5.17296e-005
recdev_early(1970)     0.552087 -7.33959e-005
recdev_early(1971)      1.01381 -0.000121858
recdev_early(1972)     0.434125 -0.000100408
recdev_early(1973)      0.12924 -6.66106e-005
recdev_early(1974)    0.0387082 -6.46781e-005
recdev_early(1975)     0.287266 -0.000107828
recdev_early(1976)     0.127691 -0.000115398
recdev_early(1977)    0.0840598 -9.25505e-005
recdev_early(1978)   -0.0616093 1.69612e-005
recdev_early(1979)    0.0399296 -1.33602e-005
recdev1(1980)     0.348598 -3.41151e-005
recdev1(1981)     0.447191 8.04518e-006
recdev1(1982)      1.44632 -1.70634e-006
recdev1(1983)     0.593193 -3.1591e-005
recdev1(1984)       0.9293 1.54839e-005
recdev1(1985)     0.322329 4.96377e-005
recdev1(1986)    0.0588303 1.61488e-005
recdev1(1987)   -0.0333968 9.15206e-005
recdev1(1988)    -0.142615 -4.81291e-005
recdev1(1989)    -0.261998 -4.75752e-005
recdev1(1990)     -0.50439 -5.84562e-005
recdev1(1991)    -0.723253 -3.74918e-005
recdev1(1992)    -0.534433 -3.67465e-005
recdev1(1993)     0.642095 -0.000174383
recdev1(1994)     0.210397 -0.000115246
recdev1(1995)    -0.698834 -2.18718e-005
recdev1(1996)    -0.810813 -1.58305e-005
recdev1(1997)    -0.716844   5.028e-006
recdev1(1998)    -0.273704 3.22718e-005
recdev1(1999)    0.0867081 5.31921e-005
recdev1(2000)     -0.37272 6.43414e-005
recdev1(2001)   -0.0851197 6.25315e-005
recdev1(2002)     0.761518 8.40192e-005
recdev1(2003)     0.238039 3.42478e-005
recdev1(2004)    -0.514184 1.98376e-005
recdev1(2005)     -0.32745 1.33815e-005
recdev1(2006)   -0.0889549 -7.55496e-006
recdev1(2007)     0.147084 -2.87243e-005
recdev1(2008)      0.20547 9.10465e-006
recdev1(2009)    0.0414894 -5.82066e-006
recdev1(2010)     0.132479 1.19178e-005
recdev1(2011)      0.12686 1.40572e-005
recdev1(2012)    -0.295697 3.28979e-005
recdev1(2013)    -0.136933 -4.02708e-007
recdev1(2014)     -0.13619 1.23303e-005
recdev1(2015)   -0.0803664 3.70776e-005
Fcast_recruitments(2016)            0            0
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_impl_error(2017)            0            0
Fcast_impl_error(2018)            0            0
Fcast_impl_error(2019)            0            0
Fcast_impl_error(2020)            0            0
Fcast_impl_error(2021)            0            0
Fcast_impl_error(2022)            0            0
Fcast_impl_error(2023)            0            0
Fcast_impl_error(2024)            0            0
Fcast_impl_error(2025)            0            0
Fcast_impl_error(2026)            0            0
Fcast_impl_error(2027)            0            0
Fcast_impl_error(2028)            0            0
Q_parm[2]     0.166454 -8.65495e-006
Q_parm[4]    0.0967457 -4.57976e-005
Q_parm[6]     0.125546 -8.70005e-005
Q_parm[8] 1.03492e-008 -0.000362708
Q_parm[10]     0.223642 3.51344e-006
Q_parm[12]     0.261838 -2.06658e-005
Q_parm[16]     0.027052 3.18282e-006
Q_parm[17]    -0.271601 -7.50393e-006
selparm[1]      54.9247  0.000481183
selparm[3]      5.38998 -9.85195e-005
selparm[4]     0.364569   0.00036164
selparm[7]           20 -3.11942e-005
selparm[9]      3.31246 4.76171e-005
selparm[10]      19.9288 -0.000112925
selparm[13]           20 2.39845e-005
selparm[15]      4.40451 5.98061e-005
selparm[19]           60  -0.00132281
selparm[21]    -0.999998 -0.000118324
selparm[22]      19.7565 -1.82027e-008
selparm[25]           60 -1.12629e-005
selparm[27]    -0.999998 -5.2177e-005
selparm[31]      20.0003  0.000163757
selparm[33]      8.99998 -3.91235e-006
selparm[37]      45.0006 2.77452e-005
selparm[39]    -0.914322 6.94594e-005
selparm[43]      23.0018 5.09559e-005
selparm[45]    -0.997088 -8.03753e-006
selparm[49]      75.0245 -0.000120183
selparm[51]    -0.997345 -5.52227e-006
selparm[55]      27.0007 -2.47117e-005
selparm[57]     -0.24704 7.11596e-006
selparm[61]           45 7.94294e-005
selparm[63]    -0.987885 -3.02446e-006
