ParName   Value   Gradient
MGparm[2]      8.46867 -1.82713e-006
MGparm[3]       63.473 2.41398e-006
MGparm[4]    0.0651689 1.67219e-005
MGparm[5]     0.191698 -1.20894e-005
MGparm[6]    0.0537465 -2.39323e-005
MGparm[15]     0.399991 -1.93381e-005
SR_parm[1]      5.37596 -3.29822e-005
recdev_early(1889)   -0.0123823 5.39126e-007
recdev_early(1890)    -0.012782 -7.91456e-007
recdev_early(1891)   -0.0131913 5.60525e-007
recdev_early(1892)   -0.0136136 1.75381e-006
recdev_early(1893)   -0.0140445 3.95421e-007
recdev_early(1894)   -0.0144896 -1.00349e-006
recdev_early(1895)   -0.0149487 -8.64093e-007
recdev_early(1896)   -0.0154233 2.83545e-007
recdev_early(1897)   -0.0159144 3.85429e-007
recdev_early(1898)   -0.0164165 -1.09271e-006
recdev_early(1899)   -0.0169281 -1.35888e-006
recdev_early(1900)   -0.0174724 -1.1876e-006
recdev_early(1901)   -0.0180157 -2.16009e-006
recdev_early(1902)   -0.0185481 -3.97783e-007
recdev_early(1903)    -0.019142 -1.17495e-006
recdev_early(1904)   -0.0197355 4.42937e-007
recdev_early(1905)   -0.0203182 1.87802e-006
recdev_early(1906)   -0.0208864 8.98195e-007
recdev_early(1907)    -0.021393 -2.42666e-007
recdev_early(1908)   -0.0218703 -1.81649e-006
recdev_early(1909)    -0.022331 -2.02334e-006
recdev_early(1910)   -0.0227664 2.08827e-006
recdev_early(1911)   -0.0231833 -1.1578e-007
recdev_early(1912)   -0.0235935 1.71723e-006
recdev_early(1913)   -0.0240911 -5.71096e-006
recdev_early(1914)   -0.0247603 -3.08421e-007
recdev_early(1915)   -0.0257729 -1.39193e-006
recdev_early(1916)   -0.0273147 -5.64471e-007
recdev_early(1917)   -0.0295992 1.65635e-006
recdev_early(1918)   -0.0328681 1.52297e-006
recdev_early(1919)   -0.0373821 1.27142e-006
recdev_early(1920)    -0.043335 3.78976e-007
recdev_early(1921)   -0.0508064 2.45697e-007
recdev_early(1922)   -0.0597563  9.3116e-007
recdev_early(1923)   -0.0700062 8.87579e-007
recdev_early(1924)   -0.0812307 -6.82753e-007
recdev_early(1925)   -0.0929653 -4.66362e-007
recdev_early(1926)    -0.104601 7.45424e-007
recdev_early(1927)    -0.115424 -3.92153e-007
recdev_early(1928)    -0.124735 -1.06111e-006
recdev_early(1929)    -0.131979 -4.46889e-007
recdev_early(1930)    -0.136956 -1.30077e-006
recdev_early(1931)    -0.140095 -6.34298e-008
recdev_early(1932)    -0.142478 -2.1917e-007
recdev_early(1933)     -0.14567 6.59738e-007
recdev_early(1934)    -0.151365 -6.34219e-007
recdev_early(1935)    -0.160542 -1.50618e-006
recdev_early(1936)    -0.172714 -4.61678e-007
recdev_early(1937)     -0.18564 -1.26242e-007
recdev_early(1938)    -0.195935 -6.8915e-007
recdev_early(1939)    -0.200139 3.83825e-008
recdev_early(1940)    -0.195931 -1.14541e-006
recdev_early(1941)    -0.182447 -7.34133e-007
recdev_early(1942)    -0.159492 -2.57932e-007
recdev_early(1943)    -0.125772 -3.69511e-007
recdev_early(1944)   -0.0773967 -9.29403e-007
recdev_early(1945)   -0.0089998 -4.17125e-007
recdev_early(1946)       0.0818 1.21021e-006
recdev_early(1947)     0.185648 4.08704e-006
recdev_early(1948)     0.269574 6.72006e-006
recdev_early(1949)     0.277675 2.37919e-006
recdev_early(1950)     0.187268 1.36524e-006
recdev_early(1951)    0.0404245 1.65953e-006
recdev_early(1952)     -0.11269 3.21859e-008
recdev_early(1953)    -0.242006 3.50483e-007
recdev_early(1954)    -0.331035 -2.16211e-006
recdev_early(1955)    -0.369846 -9.62786e-007
recdev_early(1956)    -0.353511 -1.54349e-006
recdev_early(1957)    -0.284051 -1.48148e-006
recdev_early(1958)    -0.174353 -1.30621e-006
recdev_early(1959)   -0.0581503 3.83142e-008
recdev_early(1960)  -0.00860619 1.01046e-008
recdev_early(1961)   -0.0886382 -1.39105e-006
recdev_early(1962)    -0.248307 -1.45789e-006
recdev_early(1963)    -0.395503 -1.37018e-006
recdev_early(1964)    -0.467401 -2.13209e-006
recdev_early(1965)    -0.443719 -3.80052e-006
recdev_early(1966)    -0.336618 -3.41359e-006
recdev_early(1967)     -0.13558 -1.12857e-006
recdev_early(1968)     0.118856 -1.66072e-006
recdev_early(1969)     0.279005 -5.61564e-006
recdev_early(1970)     0.599704 1.32871e-006
recdev_early(1971)     0.929395 -5.3948e-006
recdev_early(1972)     0.243481 -3.3095e-006
recdev_early(1973)  -0.00815425 -5.79683e-006
recdev_early(1974)   -0.0254634 -8.1501e-006
recdev_early(1975)     0.362521 -5.92201e-006
recdev_early(1976)     0.276747 -9.80001e-006
recdev_early(1977)    0.0277186 -7.3342e-006
recdev_early(1978)    -0.233951 -1.9768e-006
recdev_early(1979)   -0.0087937 -4.80899e-006
recdev1(1980)     0.296367 3.95455e-006
recdev1(1981)      0.49739 -8.34029e-007
recdev1(1982)     0.676765 2.70735e-006
recdev1(1983)     0.346144 -7.32154e-007
recdev1(1984)      0.50166  1.9956e-006
recdev1(1985)     0.130843 4.25071e-006
recdev1(1986)    -0.146292 1.27082e-005
recdev1(1987)    -0.241985 4.20382e-006
recdev1(1988)    -0.383236 8.69299e-006
recdev1(1989)    -0.518971 4.23755e-006
recdev1(1990)    -0.699923 1.45868e-006
recdev1(1991)    -0.845784 1.43215e-007
