"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"6_OR_REC2","142.365","141.942","140.39","143.168","143.318","137.061","136.191","136.919","140.825","147.099","143.524","143.352","142.347","143.657","143.497","142.365","143.256","142.829","141.262","142.948","141.942","158.799","133.582","78.2092","125.08","165.451","143.498"
"7_WA_REC2","80.216","84.0325","84.4171","84.1762","91.2041","80.4687","86.0388","80.4807","80.2434","80.1134","84.1712","84.2008","80.2176","84.1082","84.1546","80.216","80.1238","84.0802","80.3161","80.1525","84.0325","89.3401","75.2605","35.8117","97.3523","80.5973","84.1544"
"8_CACPFV2","144.668","144.113","147.377","145.046","145.323","142.778","142.267","142.736","144.219","146.894","144.776","144.795","144.662","144.85","144.812","144.668","144.843","144.853","144.896","144.7","144.113","154.744","147.82","59.5001","148.989","143.467","144.812"
"9_OR_RECOB2","102.923","103.314","104.45","103.363","103.194","101.096","101.123","101.061","101.608","107.195","103.371","103.292","102.911","103.538","103.419","102.923","101.687","104.111","103.975","102.202","103.314","107.779","97.5029","86.8212","101.227","100.271","103.42"
"10_TRI_ORWA2","29.4083","29.273","28.9477","29.43","29.3785","29.7736","30.0814","29.7863","29.3205","29.6671","29.4664","29.4611","29.4074","29.4782","29.468","29.4083","29.3454","29.4948","29.4481","29.3739","29.273","29.8284","30.0942","55.2126","29.8416","40.0278","29.468"
"11_NWFSC_ORWA2","54.583","54.4803","54.5013","54.6434","54.7985","54.513","54.4597","54.5093","54.7025","55.0128","54.6374","54.6402","54.5817","54.633","54.6293","54.583","54.7915","54.5116","54.4275","54.7023","54.4803","54.0177","54.2161","82.952","54.2999","84.3265","54.6293"
"12_IPHC_ORWA2","36.3056","36.4015","37.1547","36.3298","36.46","36.4538","36.5779","36.4612","36.336","36.2447","36.3298","36.3324","36.3066","36.3279","36.3319","36.3056","36.2204","36.3809","36.3927","36.2515","36.4015","34.8831","38.1027","36.3618","38.158","68.3549","36.3319"
"1_CA_TWL3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2_CA_NONTWL3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"3_CA_REC3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"4_ORWA_TWL3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"5_ORWA_NONTWL3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"6_OR_REC3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"7_WA_REC3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"8_CACPFV3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"9_OR_RECOB3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"10_TRI_ORWA3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"11_NWFSC_ORWA3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"12_IPHC_ORWA3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"1_CA_TWL4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2_CA_NONTWL4","127.794","127.988","129.94","127.797","127.422","128.224","128.31","128.238","127.953","127.462","127.676","127.688","127.796","127.656","127.673","127.794","127.866","127.651","127.763","127.831","127.988","129.244","126.366","120.38","129.4","72.1458","127.673"
"3_CA_REC4","381.972","370.404","374.235","381.923","382.789","382.445","382.216","382.456","382.16","381.805","381.77","381.744","381.973","381.695","381.715","381.972","383.379","381.097","381.12","382.743","370.404","403.798","369.35","303.379","389.832","214.34","381.715"
"4_ORWA_TWL4","491.332","494.795","490.738","490.784","491.18","493.495","494.725","493.566","491.274","491.358","491.265","491.26","491.333","491.269","491.274","491.332","490.94","491.484","491.626","491.107","494.795","506.362","492.266","434.992","491.585","306.211","491.274"
"5_ORWA_NONTWL4","582.112","584.303","586.863","582.205","581.574","581.081","580.597","581.05","582.034","582.402","582.063","582.049","582.107","582.076","582.052","582.112","582.645","581.816","581.744","582.416","584.303","608.593","583.278","303.457","580.743","384.383","582.052"
"6_OR_REC4","723.73","729.525","724.709","720.458","723.181","728.405","731.092","728.572","724.047","722.822","723.534","723.51","723.734","723.428","723.469","723.73","724.17","723.167","723.218","724.014","729.525","746.995","724.699","576.1","720.896","455.928","723.468"
"7_WA_REC4","1061.12","1065.24","1076.24","1061.6","1059.53","1056.19","1054.3","1056.08","1060.74","1061.85","1061.12","1061.12","1061.11","1061.2","1061.15","1061.12","1061.12","1061.12","1061.11","1061.13","1065.24","1090.94","1061.18","260.108","1061.47","663.675","1061.15"
"8_CACPFV4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9_OR_RECOB4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10_TRI_ORWA4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11_NWFSC_ORWA4","955.272","998.285","972.682","955.428","958.769","955.136","954.681","955.129","955.668","954.225","954.987","955.008","955.274","954.928","954.965","955.272","955.827","954.72","954.821","955.589","998.285","976.993","951.729","730.936","955.573","1136.85","954.965"
"12_IPHC_ORWA4","178.707","169.237","164.986","177.949","178.2","180.429","180.835","180.475","179.474","176.076","178.289","178.342","178.719","178.184","178.273","178.707","178.919","178.194","178.475","178.836","169.237","182.497","172.416","904.606","180.626","114.921","178.273"
"1_CA_TWL5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2_CA_NONTWL5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"3_CA_REC5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"4_ORWA_TWL5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"5_ORWA_NONTWL5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"6_OR_REC5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"7_WA_REC5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"8_CACPFV5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9_OR_RECOB5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10_TRI_ORWA5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11_NWFSC_ORWA5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"12_IPHC_ORWA5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"1","0.000106066","9.97703e-05","0.000117997","0.000106274","0.00010548","7.24142e-05","5.80885e-05","7.15058e-05","9.85003e-05","0.000124681","0.000106921","0.000105694","0.000106022","0.000106629","0.000212399","7.07106e-05","0.000142221","8.37313e-05","0.000137156","8.54191e-05","9.97703e-05","0.000101934","0.00012449","9.88971e-05","2.64332e-05","9.74374e-05","0.0001062"
"2","0.000116862","0.000108057","0.000137673","0.000118106","0.000118092","6.89795e-05","4.69907e-05","6.76417e-05","0.000106698","0.000141496","0.00011851","0.000117243","0.000116808","0.000118459","0.000235807","7.79083e-05","0.000199156","8.23814e-05","0.000126425","0.000107747","0.000108057","0.00011162","3.10741e-05","7.32964e-05","8.25887e-05","0.000116839","0.000117905"
"3","9.63842e-05","8.77384e-05","0.000125452","9.81479e-05","9.80433e-05","4.59065e-05","2.9781e-05","4.48289e-05","7.61977e-05","0.000175791","9.80363e-05","9.61733e-05","9.62394e-05","9.91238e-05","0.000195419","6.42572e-05","0.000168231","6.74189e-05","0.000102333","9.00614e-05","8.77384e-05","8.47652e-05","2.45237e-05","5.56861e-05","6.23462e-05","9.37307e-05","9.77147e-05"
"4","0.000161897","0.000125192","0.000158031","0.000136025","0.000123569","0.000100614","5.60574e-05","9.88168e-05","0.000150092","0.000190021","0.000136541","0.000135138","0.00016184","0.000136438","0.000271692","0.000107931","0.000279947","9.5e-05","0.000174202","0.000150418","0.000125192","0.000126557","2.83508e-05","0.000101175","8.25884e-05","0.000166246","0.000135848"
"5","0.000100602","9.31672e-05","0.000114278","0.00010065","9.98112e-05","6.19707e-05","4.70188e-05","6.09915e-05","9.09489e-05","0.000124498","0.000101234","9.99499e-05","0.000100545","0.000101147","0.000201184","6.7068e-05","0.000137447","7.81938e-05","0.000126829","8.20298e-05","9.31672e-05","0.000100772","0.000113462","9.14948e-05","2.30708e-05","9.07495e-05","0.000100593"
"6","0.000130486","0.000117957","0.00017125","0.000132822","0.000132874","6.0639e-05","3.86722e-05","5.91491e-05","0.000104512","0.000226941","0.000132885","0.000130432","0.000130313","0.000134163","0.000264826","8.69919e-05","0.000227709","9.12711e-05","0.000138291","0.000121954","0.000117957","0.000103499","3.54237e-05","7.5656e-05","8.19943e-05","0.000124255","0.000132419"
"7","0.249363","0.233828","0.29124","0.251131","0.250693","0.165354","0.117946","0.162712","0.233341","0.282154","0.250905","0.249319","0.249302","0.250995","0.500545","0.166242","0.422145","0.175894","0.272737","0.228802","0.233828","0.211926","0.0158166","0.144579","0.230736","0.261809","0.250274"
"8","0.486917","0.432734","0.609632","0.489527","0.486866","0.244529","0.158392","0.23909","0.401877","0.79376","0.485763","0.481219","0.486405","0.492642","0.974721","0.324615","0.877319","0.331376","0.504704","0.46297","0.432734","0.389669","0.0770491","0.256827","0.335932","0.509998","0.487376"
"9","0.00962339","0.00852092","0.0120658","0.0096412","0.00958445","0.00479139","0.00308971","0.00468344","0.00793125","0.0155572","0.00964205","0.00947987","0.00961332","0.00970026","0.0191969","0.00641565","0.0172932","0.00652768","0.00997882","0.00914348","0.00852092","0.0081385","0.00110563","0.00489691","0.00695531","0.0102135","0.00959874"
"L_at_Amin_Fem_GP_1","8.60618","9.40573","7.01357","8.60184","8.52381","8.42312","8.18324","8.41843","8.55954","8.88173","8.46708","8.46297","8.60551","8.46684","8.46427","8.60619","8.71495","8.42818","8.53938","8.66542","9.40573","8.85795","6.5791","10.8265","8.92016","10","8.46431"
"L_at_Amax_Fem_GP_1","63.4541","63.1913","64.1151","63.4636","63.3969","63.5074","63.4803","63.5083","63.4836","63.3829","63.415","63.4169","63.4546","63.4101","63.4147","63.4541","63.4839","63.3997","63.4253","63.4724","63.1913","63.3447","64.9948","62.1504","63.2228","62.3595","63.4146"
"VonBert_K_Fem_GP_1","0.0649209","0.0638496","0.0682512","0.0649414","0.0654617","0.0646381","0.064966","0.0646313","0.0647522","0.0651522","0.0652936","0.0652842","0.0649189","0.0653243","0.0653013","0.0649209","0.0645935","0.0654359","0.0651559","0.064736","0.0638496","0.0646694","0.0667421","0.0617775","0.0645001","0.0625281","0.0653014"
"CV_young_Fem_GP_1","0.189159","0.17969","0.188988","0.191245","0.181747","0.191716","0.193444","0.191785","0.189749","0.186803","0.189636","0.189686","0.189171","0.189599","0.189647","0.189159","0.189045","0.189571","0.189127","0.189116","0.17969","0.180409","0.203783","0.181393","0.185838","0.190284","0.189647"
"CV_old_Fem_GP_1","0.0547888","0.0575194","0.0555833","0.0544567","0.0555375","0.0538102","0.0533313","0.0537822","0.0546229","0.0553384","0.0547701","0.0547572","0.0547842","0.0547893","0.0547717","0.0547888","0.0548106","0.0547786","0.054803","0.054797","0.0575194","0.0560404","0.0546345","0.0690965","0.0548416","0.0558438","0.0547718"
"RecrDist_Area_2","0.414894","0.425273","0.351393","0.406374","0.402593","0.60242","0.768949","0.610127","0.428935","0.388414","0.40996","0.408688","0.414941","0.407318","0.407894","0.414893","0.187946","0.52332","0.593142","0.286045","0.425273","0.436646","1.7923","0.63615",NA,"0.402301","0.407893"
"SR_LN(R0)","5.39305","5.43005","5.2634","5.38166","5.38292","6.14155","6.57644","6.16587","5.38937","5.39957","5.38236","5.38727","5.3931","5.38644","4.69364","5.79852","4.96373","5.69156","5.23719","5.53249","5.43005","5.38244","6.35462","5.60068","5.38502","5.4785","5.3868"
"Impl_err_2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Impl_err_2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Impl_err_2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Impl_err_2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Impl_err_2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Impl_err_2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Impl_err_2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Impl_err_2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Impl_err_2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Impl_err_2026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Impl_err_2027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Impl_err_2028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Q_extraSD_3_CA_REC(3)","0.120352","0.11365","0.126011","0.120475","0.119886","0.117964","0.136661","0.118877","0.110443","0.192416","0.1203","0.119367","0.120253","0.12129","0.120346","0.120352","0.119967","0.121673","0.122059","0.119744","0.11365","0.13285","0.109813","0.109245","0.0882418","0.111402","0.120349"
"Q_extraSD_6_OR_REC(6)","0.106587","0.0997072","0.116611","0.106052","0.105942","0.100419","0.105813","0.100585","0.111297","0.105374","0.106536","0.106699","0.106649","0.106094","0.106495","0.106586","0.107049","0.105483","0.105175","0.107028","0.0997072","0.0692495","0.109748","0.098916","0.104247","0.101482","0.106492"
