"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"SizeSel_P4_4_ORWA_TWL(4)","17.6753","17.2444","16.7821","17.5806","17.5007","16.9479","16.6045","16.9142","17.6431","17.7023","17.5645","17.5781","17.6748","17.5833","17.5799","17.675","17.3099","17.7367","17.8494","17.506","17.2444","16.2646","6.38472","18.7096","18.1508","16.9874","17.5807"
"SizeSel_P1_5_ORWA_NONTWL(5)","51.6557","51.4407","51.7996","51.5513","51.5495","52.1893","52.1131","52.2008","52.1022","50.476","51.5291","51.5498","51.6603","51.4677","51.5086","51.6556","52.2155","51.2015","51.1619","51.9908","51.4407","55.5101","46.2662","48.8722","52.7518","52.9686","51.5084"
"SizeSel_P3_5_ORWA_NONTWL(5)","5.49663","5.49705","5.51739","5.49168","5.4945","5.48321","5.46754","5.48287","5.50112","5.49669","5.48956","5.48975","5.49666","5.48832","5.48882","5.49663","5.52168","5.47676","5.47525","5.51164","5.49705","5.79037","5.18497","5.31973","5.56886","5.58422","5.48882"
"SizeSel_P1_6_OR_REC(6)","37.8379","37.6329","37.7988","37.7593","37.7125","38.5472","38.6826","38.5658","38.1008","37.1718","37.7561","37.7719","37.8402","37.7313","37.7519","37.8378","38.0161","37.6707","37.7299","37.9345","37.6329","38.5986","37.3818","37.0079","39.0671","38.5851","37.7518"
"SizeSel_P3_6_OR_REC(6)","4.25433","4.23435","4.27291","4.24336","4.24416","4.29607","4.29694","4.2972","4.26794","4.23106","4.24419","4.24492","4.25446","4.24291","4.24394","4.25433","4.27061","4.23768","4.24549","4.26297","4.23435","4.32509","4.14632","4.15585","4.37816","4.32159","4.24394"
"SizeSel_P1_7_WA_REC(7)","44.5057","32.0908","32.0733","32.1029","28.8626","44.8663","32.2145","44.8773","44.6564","44.2397","32.1034","32.1055","44.5074","32.0988","32.1022","44.5057","45.1752","32.0908","44.1578","44.8854","32.0908","32.3116","38.4473","43.1356","28.8626","45.5341","32.1022"
"SizeSel_P3_7_WA_REC(7)","4.49883","0.260535","0.232248","0.26847","-0.958658","4.50883","0.36926","4.50934","4.50401","4.49921","0.269338","0.271632","4.49892","0.264184","0.267894","4.49883","4.56013","0.272226","4.46825","4.53529","0.260529","0.605155","3.60089","4.30931","-0.962178","4.58272","0.267885"
"SizeSel_P1_9_OR_RECOB(9)","33.7045","33.377","33.2267","33.6283","33.5451","35.0673","35.2172","35.0809","34.53","30.3801","33.6355","33.676","33.7144","33.545","33.6194","33.7044","34.1618","33.3683","33.3298","33.9685","33.377","28.4319","35.645","33.5082","33.8285","34.3623","33.619"
"SizeSel_P3_9_OR_RECOB(9)","4.45193","4.40416","4.39141","4.444","4.4306","4.58471","4.58228","4.58472","4.54355","3.96804","4.44319","4.44783","4.453","4.43294","4.44121","4.45192","4.50864","4.4102","4.40572","4.4847","4.40416","3.612","4.64726","4.38358","4.47134","4.52617","4.44116"
"SizeSel_P1_10_TRI_ORWA(10)","79.9736","79.9759","79.973","79.9733","79.9735","79.9778","79.9784","79.9779","79.9748","79.9694","79.9732","79.9733","79.9736","79.9731","79.9732","79.9736","79.9726","79.9738","79.9745","79.973","79.9759","79.9689","52.1243","79.9834","79.9842","79.9721","79.9732"
"SizeSel_P3_10_TRI_ORWA(10)","6.99196","6.99294","7.00131","6.99693","6.99998","6.89561","6.86734","6.89312","6.96279","7.07648","6.99798","6.99586","6.99171","7.00037","6.99812","6.99197","6.99475","6.99554","6.98605","6.99419","6.99294","7.03221","6.40855","7.09383","6.8023","6.93191","6.99813"
"SizeSel_P1_11_NWFSC_ORWA(11)","56.337","55.5757","54.3298","55.8042","55.5095","58.3859","58.2517","58.4355","57.7132","52.5595","55.7766","55.8438","56.3492","55.6281","55.7364","56.3368","57.6271","55.1748","55.4258","57.0112","55.5757","56.3503","46.3221","52.9004","59.9153","59.9123","55.7358"
"SizeSel_P3_11_NWFSC_ORWA(11)","6.47038","6.45744","6.37703","6.44966","6.4362","6.47285","6.43914","6.47293","6.48828","6.4611","6.44514","6.44593","6.47035","6.44342","6.44403","6.47037","6.5097","6.42979","6.44617","6.48951","6.45744","6.70602","6.01846","6.31932","6.62676","6.60092","6.44403"
"SizeSel_P1_12_IPHC_ORWA(12)","54.8854","54.7567","54.5006","54.6954","54.653","55.2303","55.1636","55.2409","55.0836","54.3104","54.6954","54.7095","54.8877","54.6688","54.6891","54.8854","55.0177","54.6467","54.8027","54.9558","54.7567","55.7683","50.6139","53.3577","57.1878","55.6161","54.689"
"SizeSel_P3_12_IPHC_ORWA(12)","4.24572","4.24225","4.20871","4.22587","4.22337","4.26278","4.25075","4.26353","4.25477","4.21758","4.22558","4.22657","4.24585","4.22402","4.22527","4.24572","4.2476","4.22775","4.24748","4.24598","4.24225","4.33266","3.71124","4.07924","4.51985","4.26091","4.22526"
"NatM_p_1_Fem_GP_1",NA,NA,NA,NA,NA,"0.0584206",NA,"0.0588683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SR_BH_steep",NA,NA,NA,NA,NA,NA,NA,NA,"0.945503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SizeSel_P4_3_CA_REC(3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.99403",NA,NA,NA,NA
"SizeSel_P4_5_ORWA_NONTWL(5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.00983",NA,NA,NA,NA
"SizeSel_P4_6_OR_REC(6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.60366",NA,NA,NA,NA
"SizeSel_P4_7_WA_REC(7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.76428",NA,NA,NA,NA
"SizeSel_P4_9_OR_RECOB(9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.53516",NA,NA,NA,NA
"SizeSel_P4_10_TRI_ORWA(10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.0619",NA,NA,NA,NA
"SizeSel_P4_11_NWFSC_ORWA(11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.14027",NA,NA,NA,NA
"SizeSel_P4_12_IPHC_ORWA(12)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.85319",NA,NA,NA,NA
"NatM_p_1_Mal_GP_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0467927",NA
"L_at_Amax_Mal_GP_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65.6004",NA
"VonBert_K_Mal_GP_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.058821",NA
"CV_old_Mal_GP_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0479834",NA
"SB0","1139.0485","1156.961","1070.6425","1127.225","1128.6625","1298.1385","1505.7645","1306.913","1134.1705","1147.8335","1127.2315","1165.914","1132.361","1271750000","566.136","1708.58","740.9645","1535.985","974.739","1309.08","1156.961","1117.795","3312.989","1277.4615","1109.77","1135.716","1132.2845"
"SB2017","323.127","349.3785","270.1715","319.607","321.052","601.37","851.035","613.03","408.763","175.518","319.9805","351.2415","323.7155","337449500","160.472","484.6825","205.6235","444.962","285.841","365.7915","349.3785","382.442","2412.23","479.021","328.4575","327.273","320.928"
"SB2017/SB0","0.283681072403853","0.301979496283799","0.252345203931284","0.283534343187917","0.284453501378844","0.463253728319436","0.565185658182272","0.469066418346133","0.360407011115172","0.152911985928273","0.283864050995736","0.301258497625039","0.285876588826355","0.26534263809711","0.283451326183108","0.283675625373117","0.277507896802073","0.289691631103168","0.293248756846705","0.279426391053259","0.301979496283799","0.342139658881995","0.72811304233126","0.374978815408527","0.295968984564369","0.288164470695139","0.283433624676484"
"Yield_SPR","105.01","105.229","95.67","102.172","101.401","161.208","210.281","163.667","115.784","55.4579","102.93","104.403","105.318","100.562","51.3751","157.516","67.2114","140.583","90.8399","119.644","105.229","101.977","245.302","121.597","101.308","107.88","102.751"
"F_SPR_target","0.0218466","0.0214082","0.0217433","0.0215274","0.0213512","0.0268724","0.0289143","0.0270223","0.0218694","0.021792","0.0215336","0.0222545","0.0219763","0.0206471","0.0215493","0.0218466","0.0215257","0.021717","0.0220619","0.0216747","0.0214082","0.0215692","0.0184864","0.0217782","0.0215175","0.0217789","0.0215493"
