ParName   Value   Gradient
MGparm[1]      0.23106 -2.60061e-05
MGparm[13]     0.300443  3.15252e-06
SR_parm[1]      5.20697  6.14761e-05
recdev1(1970)     0.278721  3.78773e-06
recdev1(1971)     0.191657 -2.32959e-06
recdev1(1972)     0.203253 -3.96874e-06
recdev1(1973)     0.310207 -2.51627e-06
recdev1(1974)     0.311058 -4.88111e-06
recdev1(1975)     0.186306 -6.59925e-06
recdev1(1976)   -0.0795971 -9.88214e-07
recdev1(1977)    -0.148193  1.18886e-06
recdev1(1978)    -0.533123 -3.55194e-07
recdev1(1979)     0.278275 -1.10391e-05
recdev1(1980)     0.017843  1.40946e-06
recdev1(1981)    -0.495708 -2.01404e-06
recdev1(1982)    -0.503563  -1.2477e-06
recdev1(1983)     0.168924  -1.7412e-06
recdev1(1984)      1.61039  9.31246e-06
recdev1(1985)    -0.252336 -3.08964e-06
recdev1(1986)    -0.240395 -7.98933e-07
recdev1(1987)     0.879047  -5.8732e-06
recdev1(1988)      0.15648 -2.10159e-06
recdev1(1989)    -0.400648 -2.94991e-06
recdev1(1990)    -0.237997  -4.2558e-06
recdev1(1991)   -0.0609652 -9.54381e-07
recdev1(1992)    -0.444099 -4.84287e-06
recdev1(1993)   0.00344518 -9.94905e-06
recdev1(1994)     0.432335 -5.91432e-06
recdev1(1995)     0.434898 -2.47718e-06
recdev1(1996)    -0.169489 -2.31144e-06
recdev1(1997)    0.0183014 -2.88344e-06
recdev1(1998)    0.0515029  2.63335e-06
recdev1(1999)     0.474763 -2.00329e-06
recdev1(2000)    -0.583301 -1.92489e-06
recdev1(2001)   -0.0172938 -1.42794e-06
recdev1(2002)     0.625118  1.91884e-06
recdev1(2003)   -0.0893721  6.69871e-07
recdev1(2004)    -0.324748 -1.52007e-06
recdev1(2005)     0.203182 -5.66467e-06
recdev1(2006)    0.0214256 -2.73739e-06
recdev1(2007)    -0.065553 -3.23637e-06
recdev1(2008)    -0.178907 -3.47766e-06
recdev1(2009)    -0.203244 -7.11102e-06
recdev1(2010)    -0.589547 -1.47818e-06
recdev1(2011)    -0.566189 -2.01082e-06
recdev1(2012)    -0.354976  -1.6977e-06
recdev1(2013)    -0.233911  4.52221e-07
recdev1(2014)     -0.13632 -2.43848e-06
recdev1(2015)    0.0917981 -3.04818e-06
recdev1(2016)    -0.039459 -1.15471e-06
Fcast_recruitments(2017)    -0.136775  9.01158e-08
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Q_parm[2]     0.405111  5.18798e-06
selparm[7]      37.8837 -4.56343e-06
selparm[8]     -2.90841 -1.21498e-06
selparm[9]     0.854608 -2.15138e-07
selparm[10]     -2.77163  -1.7221e-07
selparm[12]     -3.34066 -1.92152e-08
selparm[13]      44.6055 -9.63348e-07
selparm[14]    -0.391842  1.48447e-08
selparm[15]      6.70834    4.428e-07
selparm[16]     -1.99399 -1.64162e-07
selparm[18]      5.92215   6.1994e-08
selparm[19]       36.382  3.06987e-06
selparm[20]    -0.989903  6.50446e-09
selparm[21]      4.45161 -1.09412e-06
selparm[27]      43.6441 -6.11029e-05
selparm[28]     -1.73638  4.44168e-05
selparm[29]      3.59094  -1.2626e-07
selparm[30]      -2.0988  2.87022e-06
selparm[31]     -1.45693  3.00989e-06
selparm[32]      44.8119  9.86961e-06
selparm[33]     -1.98347  2.96158e-08
selparm[34]      4.58718 -1.86795e-05
