ParName   Value   Gradient
MGparm[2]      8.09039  1.9002e-006
MGparm[3]      63.7364 1.37341e-005
MGparm[4]    0.0654947 9.65325e-006
MGparm[5]     0.193242 2.10932e-006
MGparm[6]    0.0517655 4.50193e-007
MGparm[15]     0.389158 1.44107e-006
SR_parm[1]       5.3596 3.49603e-005
recdev_early(1889)    -0.016334 -2.66416e-008
recdev_early(1890)   -0.0168523 -7.78095e-008
recdev_early(1891)   -0.0173826 5.45887e-007
recdev_early(1892)   -0.0179279 8.12758e-007
recdev_early(1893)   -0.0184835 1.07238e-006
recdev_early(1894)   -0.0190542 4.75735e-007
recdev_early(1895)   -0.0196404 1.16747e-007
recdev_early(1896)   -0.0202435 -1.59059e-007
recdev_early(1897)   -0.0208638  7.7772e-007
recdev_early(1898)    -0.021496 -1.0813e-006
recdev_early(1899)   -0.0221367 7.09729e-007
recdev_early(1900)   -0.0228124 2.94522e-007
recdev_early(1901)   -0.0234879 3.07014e-007
recdev_early(1902)   -0.0241464 -2.8539e-008
recdev_early(1903)   -0.0248631 7.71803e-007
recdev_early(1904)   -0.0255827 8.44152e-007
recdev_early(1905)   -0.0262914 -1.92493e-007
recdev_early(1906)   -0.0269878  3.4572e-008
recdev_early(1907)   -0.0276252 -2.17869e-007
recdev_early(1908)   -0.0282378 3.72632e-007
recdev_early(1909)   -0.0288489 2.83584e-007
recdev_early(1910)   -0.0294411 -8.68685e-007
recdev_early(1911)   -0.0300285 1.09492e-006
recdev_early(1912)   -0.0306313 -3.95491e-007
recdev_early(1913)   -0.0313526 1.68933e-007
recdev_early(1914)   -0.0322838 -2.64548e-007
recdev_early(1915)   -0.0336029 -2.04912e-008
recdev_early(1916)   -0.0354664 4.77605e-007
recdev_early(1917)   -0.0380866 7.04434e-007
recdev_early(1918)   -0.0417509 -4.53331e-007
recdev_early(1919)   -0.0467441 6.12579e-007
recdev_early(1920)   -0.0532751 2.56942e-008
recdev_early(1921)   -0.0614269 4.38004e-007
recdev_early(1922)   -0.0711537 6.35016e-007
recdev_early(1923)    -0.082255 2.80332e-007
recdev_early(1924)   -0.0943618 3.04218e-007
recdev_early(1925)    -0.106939 2.78142e-007
recdev_early(1926)    -0.119274 1.39698e-006
recdev_early(1927)    -0.130508 1.45088e-007
recdev_early(1928)    -0.139753 7.86091e-007
recdev_early(1929)    -0.146205 4.17566e-007
recdev_early(1930)    -0.149375 -5.14894e-008
recdev_early(1931)    -0.149387 2.14884e-007
recdev_early(1932)    -0.147076   6.479e-008
recdev_early(1933)    -0.143997 1.12608e-006
recdev_early(1934)    -0.142261 7.38537e-007
recdev_early(1935)    -0.143805 1.87063e-008
recdev_early(1936)    -0.149523 5.95407e-007
recdev_early(1937)    -0.158593 6.25654e-007
recdev_early(1938)    -0.168615 6.00528e-007
recdev_early(1939)    -0.176366 1.33886e-006
recdev_early(1940)    -0.178898 5.11033e-007
recdev_early(1941)    -0.173906 1.41078e-008
recdev_early(1942)    -0.159258 3.83311e-007
recdev_early(1943)    -0.132002 5.84025e-007
recdev_early(1944)   -0.0878855 7.79523e-007
recdev_early(1945)   -0.0229013 5.33679e-007
recdev_early(1946)    0.0630472  5.2019e-007
recdev_early(1947)     0.159404 -1.19068e-007
recdev_early(1948)     0.236065 4.47867e-007
recdev_early(1949)      0.24353 5.17569e-007
recdev_early(1950)     0.157263 7.77607e-007
recdev_early(1951)    0.0126951 4.07567e-007
recdev_early(1952)    -0.138222 8.64644e-007
recdev_early(1953)    -0.261947 3.54531e-007
recdev_early(1954)    -0.342583 6.06707e-007
recdev_early(1955)    -0.373145  7.2161e-007
recdev_early(1956)    -0.350815 8.27338e-007
recdev_early(1957)    -0.279837 6.45639e-007
recdev_early(1958)    -0.178107 4.05343e-007
recdev_early(1959)   -0.0828855 1.08809e-006
recdev_early(1960)   -0.0637248 9.32462e-007
recdev_early(1961)    -0.172779 1.79719e-008
recdev_early(1962)    -0.345268 5.68005e-007
recdev_early(1963)    -0.474233 7.80199e-007
recdev_early(1964)    -0.482847 6.82184e-007
recdev_early(1965)    -0.344718 1.04364e-006
recdev_early(1966)    -0.149102 1.30065e-006
recdev_early(1967)   -0.0230555 1.05782e-006
recdev_early(1968)     0.159381 9.30609e-007
recdev_early(1969)     0.371401 2.29549e-007
recdev_early(1970)     0.570709 6.11338e-007
recdev_early(1971)     0.860554 8.45362e-007
recdev_early(1972)     0.330245 -3.89069e-007
recdev_early(1973)    0.0217051 5.68186e-007
recdev_early(1974)   -0.0296065 4.05286e-007
recdev_early(1975)     0.303365 -4.11623e-007
recdev_early(1976)     0.220574  1.3223e-008
recdev_early(1977)      0.13838 8.17492e-007
recdev_early(1978)   -0.0719076  1.0951e-006
recdev_early(1979)    0.0594121 2.11584e-006
recdev1(1980)     0.204568 2.27663e-006
recdev1(1981)     0.433929  1.5594e-006
recdev1(1982)     0.668193 3.02957e-006
recdev1(1983)     0.343691 -9.04128e-007
recdev1(1984)     0.495798 -1.85767e-006
recdev1(1985)     0.124146 2.14935e-007
recdev1(1986)    -0.150541 -2.14701e-008
recdev1(1987)    -0.246274 1.03043e-006
recdev1(1988)    -0.391636 8.17946e-007
recdev1(1989)    -0.526255 1.27822e-006
recdev1(1990)    -0.698787 1.71632e-006
recdev1(1991)    -0.840943 6.14742e-007
recdev1(1992)     -0.62703 1.02814e-006
recdev1(1993)     0.330298 4.03124e-007
recdev1(1994)    0.0180712 6.02899e-007
recdev1(1995)    -0.755561 -6.33877e-009
recdev1(1996)    -0.787935  1.6066e-007
recdev1(1997)    -0.608284 -5.74077e-007
recdev1(1998)    -0.078197 -6.17166e-007
recdev1(1999)     0.603233 -1.43318e-006
recdev1(2000)    -0.102847 -7.13545e-007
recdev1(2001)     0.163156 -1.24751e-006
recdev1(2002)      1.17863 -5.29551e-006
recdev1(2003)     0.404169 -1.70179e-006
recdev1(2004)    -0.372472 3.80353e-008
recdev1(2005)    -0.132823 -1.51671e-007
recdev1(2006)     0.100879 2.52944e-008
recdev1(2007)     0.334531  7.1049e-008
recdev1(2008)     0.730325 -1.18274e-007
recdev1(2009)     0.409802 -8.83944e-008
recdev1(2010)     0.495418 -4.75372e-008
recdev1(2011)     0.396708 -5.10679e-007
recdev1(2012)    -0.303132 4.15443e-009
recdev1(2013)    -0.290575 1.69691e-007
recdev1(2014)    -0.323123 5.23226e-007
recdev1(2015)    -0.199134 -1.69049e-007
Fcast_recruitments(2016)            0            0
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_impl_error(2017)            0            0
Fcast_impl_error(2018)            0            0
Fcast_impl_error(2019)            0            0
Fcast_impl_error(2020)            0            0
Fcast_impl_error(2021)            0            0
Fcast_impl_error(2022)            0            0
Fcast_impl_error(2023)            0            0
Fcast_impl_error(2024)            0            0
Fcast_impl_error(2025)            0            0
Fcast_impl_error(2026)            0            0
Fcast_impl_error(2027)            0            0
Fcast_impl_error(2028)            0            0
Q_parm[2]     0.124822 1.24354e-009
Q_parm[4]     0.111355 2.87613e-007
Q_parm[6]     0.413408 9.57061e-007
Q_parm[8]    0.0993329 4.02762e-008
Q_parm[10]     0.198821 -1.04741e-007
Q_parm[12]     0.110025 2.19519e-008
Q_parm[16]      0.13502 -2.57148e-007
Q_parm[17]    -0.165979 1.34958e-006
selparm[1]      46.4633 9.07175e-007
