ParName   Value   Gradient
MGparm[2]      9.40573 -6.06586e-006
MGparm[3]      63.1913 -4.13819e-005
MGparm[4]    0.0638496 -2.38476e-005
MGparm[5]      0.17969 -3.04298e-006
MGparm[6]    0.0575194 -3.30768e-006
MGparm[15]     0.425273 5.17037e-005
SR_parm[1]      5.43005  -0.00010042
recdev_early(1889)   0.00245581 -5.27121e-007
recdev_early(1890)   0.00262414 -1.72802e-007
recdev_early(1891)   0.00280525 -5.73157e-007
recdev_early(1892)   0.00299589 -2.46769e-008
recdev_early(1893)    0.0031993 -1.57829e-007
recdev_early(1894)   0.00340815 -6.9712e-007
recdev_early(1895)   0.00362082 -5.6629e-007
recdev_early(1896)   0.00383305 -4.06327e-007
recdev_early(1897)   0.00403816 -4.58503e-007
recdev_early(1898)   0.00423655 -2.83535e-007
recdev_early(1899)   0.00441947 -9.22464e-007
recdev_early(1900)   0.00455116 -6.62383e-007
recdev_early(1901)   0.00467288 -2.42389e-008
recdev_early(1902)   0.00476952 -7.93356e-008
recdev_early(1903)   0.00471252 -5.17783e-007
recdev_early(1904)   0.00448487 -9.12378e-007
recdev_early(1905)     0.004177 -4.50613e-007
recdev_early(1906)   0.00374724 -1.00534e-006
recdev_early(1907)   0.00313171 -3.43629e-007
recdev_early(1908)   0.00235331 -6.7395e-007
recdev_early(1909)   0.00128156 -7.94612e-007
recdev_early(1910) -1.11852e-005 -7.46689e-007
recdev_early(1911)  -0.00157767 -6.85057e-007
recdev_early(1912)   -0.0033204 -7.36948e-007
recdev_early(1913)  -0.00520591 -8.4165e-007
recdev_early(1914)  -0.00713017 -8.33283e-007
recdev_early(1915)  -0.00918901 -7.6722e-007
recdev_early(1916)   -0.0112294 -8.72383e-007
recdev_early(1917)   -0.0132731 -8.14879e-007
recdev_early(1918)   -0.0154321 -8.22919e-007
recdev_early(1919)   -0.0178823 -8.12549e-007
recdev_early(1920)   -0.0208933 -1.00086e-006
recdev_early(1921)   -0.0248295 -8.34417e-007
recdev_early(1922)   -0.0301383 -9.03058e-007
recdev_early(1923)   -0.0372893 -1.13716e-006
recdev_early(1924)   -0.0466788 -1.05657e-006
recdev_early(1925)   -0.0584942 -8.39906e-007
recdev_early(1926)   -0.0726007 -1.04346e-006
recdev_early(1927)   -0.0884885 -9.27864e-007
recdev_early(1928)    -0.105323 -1.19066e-006
recdev_early(1929)    -0.122063 -1.07516e-006
recdev_early(1930)    -0.137615 -1.40288e-006
recdev_early(1931)    -0.151055 -1.09383e-006
recdev_early(1932)    -0.161734 -1.31339e-006
recdev_early(1933)    -0.169285 -1.30688e-006
recdev_early(1934)    -0.173765 -1.35505e-006
recdev_early(1935)    -0.175646 -1.21023e-006
recdev_early(1936)    -0.175842 -1.30381e-006
recdev_early(1937)    -0.175544 -1.22863e-006
recdev_early(1938)    -0.176032 -1.35354e-006
