"","Label","Type","Reference","NWFSC biased","WDFW biased","WDFW w/ ADFG","NWFSC w/ ADFG","M est","NMT prior, fixed","NMT prior, est.","h est","2011 h value","2011 L-W","2011 maturity","spline maturity","2011 fecundity","All years -50%","All years +50%","Comm. -50%","Comm. +50%","Rec. -50%","Rec. +50%","Lumped comp data","No rec devs","Est. dome sel","harm. mean wgting","1 area","2 sex","Rec. sel. dome"
"109",NA,"SR_BH_steep",0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.945503,0.418705,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718
"110",NA,"SR_sigmaR",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"111",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",NA,"Early_RecrDev_1889",-0.0139758,0.00245579,-0.0447194,-0.0146338,-0.0116867,0.0448823,0.0567138,0.045809,-0.00497825,-0.0336387,-0.0125255,-0.012588,-0.013959,-0.0129631,-0.012817,-0.0139771,-0.0151644,-0.0136895,-0.0159932,-0.014225,0.00245581,NA,0.00445808,0.0164996,-0.0380824,-0.0114885,-0.0128206
"114",NA,"Early_RecrDev_1890",-0.0144311,0.00262413,-0.0461939,-0.015113,-0.0120658,0.0469691,0.0595845,0.0479508,-0.00521012,-0.0342583,-0.0129342,-0.0130015,-0.0144163,-0.0133711,-0.0132349,-0.0144324,-0.0156638,-0.0141353,-0.0165132,-0.0146909,0.00262414,NA,0.00468264,0.0170556,-0.0393408,-0.011883,-0.0132388
"115",NA,"Early_RecrDev_1891",-0.014898,0.00280523,-0.0477117,-0.0156038,-0.0124534,0.0491712,0.0626271,0.0502118,-0.00545224,-0.0348809,-0.0133531,-0.0134256,-0.0148857,-0.0137885,-0.0136637,-0.0148995,-0.0161767,-0.0145924,-0.0170467,-0.015169,0.00280525,NA,0.00492434,0.0176289,-0.040637,-0.0122886,-0.0136675
"116",NA,"Early_RecrDev_1892",-0.0153797,0.00299588,-0.0492749,-0.0161092,-0.0128523,0.0514946,0.0658537,0.0525982,-0.00570839,-0.035508,-0.0137852,-0.0138635,-0.0153698,-0.0142181,-0.0141058,-0.015381,-0.0167065,-0.015064,-0.0175967,-0.0156621,0.00299589,NA,0.00518503,0.0182233,-0.041975,-0.0127082,-0.0141098
"117",NA,"Early_RecrDev_1893",-0.0158717,0.00319927,-0.0508803,-0.0166246,-0.0132581,0.0539494,0.06928,0.0551198,-0.0059754,-0.0361301,-0.0142265,-0.014311,-0.0158647,-0.0146557,-0.0145574,-0.0158729,-0.017249,-0.0155457,-0.0181587,-0.0161665,0.0031993,NA,0.00546862,0.0188361,-0.0433509,-0.0131374,-0.0145615
"118",NA,"Early_RecrDev_1894",-0.0163798,0.00340812,-0.0525328,-0.0171555,-0.013676,0.0565438,0.072923,0.0577876,-0.00625882,-0.0367559,-0.0146826,-0.0147742,-0.0163761,-0.0151074,-0.015024,-0.016381,-0.0178103,-0.0160431,-0.0187386,-0.0166882,0.00340815,NA,0.00577809,0.0194677,-0.0447722,-0.0135817,-0.0150283
"119",NA,"Early_RecrDev_1895",-0.016904,0.00362083,-0.0542333,-0.0177013,-0.0141055,0.0592886,0.0768021,0.0606098,-0.00655947,-0.0373828,-0.0151533,-0.0152525,-0.0169038,-0.0155732,-0.0155058,-0.0169056,-0.0183904,-0.016556,-0.0193363,-0.017227,0.00362082,NA,0.00611035,0.0201187,-0.0462409,-0.0140424,-0.0155101
"120",NA,"Early_RecrDev_1896",-0.0174461,0.00383306,-0.0559842,-0.0182631,-0.0145477,0.0621956,0.0809397,0.0636006,-0.00687959,-0.0380136,-0.0156401,-0.0157484,-0.0174498,-0.0160537,-0.0160037,-0.0174476,-0.0189914,-0.017086,-0.0199537,-0.0177846,0.00383305,NA,0.00646792,0.0207894,-0.047757,-0.0145231,-0.0160083
"121",NA,"Early_RecrDev_1897",-0.0180072,0.00403814,-0.0577859,-0.0188413,-0.0150033,0.0652757,0.0853579,0.0667711,-0.00722139,-0.0386448,-0.0161439,-0.0162618,-0.0180149,-0.016551,-0.0165192,-0.0180088,-0.0196148,-0.0176337,-0.0205915,-0.0183623,0.00403816,NA,0.00685101,0.0214663,-0.0493237,-0.0150283,-0.0165236
"122",NA,"Early_RecrDev_1898",-0.0185814,0.00423653,-0.0596334,-0.0194297,-0.0154676,0.0685445,0.0900842,0.0701377,-0.00758009,-0.0392674,-0.0166594,-0.0167888,-0.0185934,-0.017059,-0.0170463,-0.018583,-0.0202546,-0.0181942,-0.0212441,-0.0189543,0.00423655,NA,0.00727226,0.0221707,-0.0509339,-0.0155482,-0.0170512
"123",NA,"Early_RecrDev_1899",-0.0191681,0.00441949,-0.0615239,-0.0200242,-0.0159405,0.0720157,0.0951462,0.0737145,-0.00795576,-0.0398782,-0.017186,-0.0173283,-0.0191844,-0.017578,-0.0175853,-0.0191695,-0.0209104,-0.0187664,-0.0219107,-0.0195603,0.00441947,NA,0.00773532,0.0228916,-0.0525895,-0.0160929,-0.01759
"124",NA,"Early_RecrDev_1900",-0.0197894,0.0045511,-0.0634773,-0.0206553,-0.0164465,0.0756791,0.100554,0.0774924,-0.00837334,-0.0404937,-0.0177442,-0.017901,-0.0198102,-0.018128,-0.0181558,-0.0197911,-0.0216061,-0.0193704,-0.022612,-0.0202032,0.00455116,NA,0.00820662,0.0236328,-0.0543084,-0.0166797,-0.0181609
"125",NA,"Early_RecrDev_1901",-0.0204135,0.00467287,-0.0654975,-0.021295,-0.0169386,0.0795783,0.106364,0.081516,-0.00880068,-0.0410807,-0.0183032,-0.0184771,-0.0204387,-0.0186795,-0.0187276,-0.0204153,-0.0223086,-0.0199759,-0.0233176,-0.0208507,0.00467288,NA,0.00870673,0.0243947,-0.0560543,-0.0172927,-0.0187328
"126",NA,"Early_RecrDev_1902",-0.0210322,0.00476948,-0.0675608,-0.0219418,-0.0174192,0.0837304,0.112613,0.085803,-0.00923042,-0.0416296,-0.018856,-0.0190488,-0.0210617,-0.0192251,-0.0192937,-0.021034,-0.0230097,-0.0205757,-0.0240195,-0.021494,0.00476952,NA,0.00927164,0.0251743,-0.0578244,-0.017908,-0.0192988
"127",NA,"Early_RecrDev_1903",-0.0217121,0.00471251,-0.0696617,-0.0226436,-0.0179528,0.0880777,0.119269,0.0902966,-0.00973184,-0.042199,-0.0194676,-0.019682,-0.0217458,-0.0198305,-0.0199187,-0.0217139,-0.0237766,-0.021235,-0.0247825,-0.0222008,0.00471252,NA,0.00987086,0.0259074,-0.0596908,-0.0185768,-0.0199244
"128",NA,"Early_RecrDev_1904",-0.0223953,0.00448488,-0.0717901,-0.0233562,-0.0184847,0.0926903,0.126422,0.0950683,-0.010248,-0.0427294,-0.0200808,-0.0203191,-0.0224326,-0.0204387,-0.0205458,-0.0223973,-0.0245522,-0.0218957,-0.0255497,-0.0229128,0.00448487,NA,0.010534,0.026675,-0.0615887,-0.0192838,-0.0205514
"129",NA,"Early_RecrDev_1905",-0.0230702,0.00417697,-0.0739321,-0.0240743,-0.0190074,0.0975756,0.134102,0.100126,-0.0107676,-0.0432068,-0.0206838,-0.0209482,-0.0231107,-0.0210379,-0.0211631,-0.023072,-0.0253242,-0.0225464,-0.0263085,-0.0236192,0.004177,NA,0.0112717,0.0274603,-0.0635035,-0.0200231,-0.0211688
"130",NA,"Early_RecrDev_1906",-0.0237344,0.00374718,-0.0760811,-0.02481,-0.0195225,0.102737,0.142334,0.105474,-0.0112904,-0.0436256,-0.0212741,-0.021567,-0.023778,-0.0216269,-0.0217675,-0.0237362,-0.0260912,-0.0231839,-0.0270571,-0.0243169,0.00374724,NA,0.0120957,0.0282777,-0.0654336,-0.0207948,-0.0217735
"131",NA,"Early_RecrDev_1907",-0.0243428,0.0031317,-0.0782102,-0.0255331,-0.0199946,0.108204,0.151164,0.111142,-0.0117703,-0.0439411,-0.0218076,-0.022131,-0.0243886,-0.0221608,-0.022316,-0.0243448,-0.0268069,-0.0237651,-0.0277498,-0.0249614,0.00313171,NA,0.0130443,0.0291673,-0.0673258,-0.0215745,-0.0223219
"132",NA,"Early_RecrDev_1908",-0.0249264,0.00235333,-0.0803194,-0.0262874,-0.0204606,0.113926,0.160568,0.117082,-0.0122406,-0.0441804,-0.022314,-0.0226691,-0.0249738,-0.0226707,-0.0228372,-0.0249285,-0.0275031,-0.0243185,-0.0284176,-0.0255827,0.00235331,NA,0.0141048,0.0300661,-0.0692129,-0.0223923,-0.0228434
"133",NA,"Early_RecrDev_1909",-0.0254982,0.00128157,-0.0824037,-0.0270935,-0.0209418,0.119848,0.170499,0.123235,-0.0127154,-0.0443546,-0.0228064,-0.0231941,-0.0255467,-0.0231687,-0.0233447,-0.0255003,-0.0281939,-0.0248564,-0.0290711,-0.0261962,0.00128156,NA,0.0152654,0.0310394,-0.0710995,-0.023272,-0.0233511
"134",NA,"Early_RecrDev_1910",-0.0260518,-1.11967e-05,-0.0844614,-0.0279373,-0.0214448,0.125921,0.180911,0.129554,-0.0131871,-0.0444615,-0.0232793,-0.0236997,-0.0261006,-0.0236506,-0.0238329,-0.0260538,-0.0288708,-0.0253742,-0.0297061,-0.0267927,-1.11852e-05,NA,0.0165381,0.0320295,-0.0729719,-0.0242064,-0.0238394
"135",NA,"Early_RecrDev_1911",-0.026598,-0.00157767,-0.0865126,-0.0287915,-0.0219867,0.132057,0.191703,0.135947,-0.013667,-0.0445129,-0.0237443,-0.0241962,-0.0266467,-0.0241272,-0.0243131,-0.0266006,-0.0295447,-0.0258826,-0.030331,-0.027385,-0.00157767,NA,0.0179063,0.0330441,-0.0748283,-0.0252059,-0.0243198
"136",NA,"Early_RecrDev_1912",-0.0271564,-0.0033204,-0.0885704,-0.0295751,-0.0225879,0.13815,0.202744,0.142308,-0.0141738,-0.0445313,-0.0242204,-0.0247029,-0.0272042,-0.0246179,-0.0248046,-0.0271584,-0.0302341,-0.0264002,-0.0309666,-0.0279907,-0.0033204,NA,0.0193345,0.0340693,-0.0766781,-0.0262449,-0.0248113
"137",NA,"Early_RecrDev_1913",-0.0278235,-0.00520592,-0.0907072,-0.0302227,-0.0233331,0.14397,0.21375,0.148402,-0.0148066,-0.0446142,-0.0248051,-0.0253155,-0.0278702,-0.0252192,-0.0254042,-0.0278259,-0.0310357,-0.0270241,-0.0317062,-0.0287081,-0.00520591,NA,0.0207131,0.0350325,-0.0786023,-0.0273772,-0.0254112
"138",NA,"Early_RecrDev_1914",-0.0286956,-0.0071302,-0.0930132,-0.0306018,-0.0242953,0.14926,0.224375,0.153965,-0.0156606,-0.0448623,-0.025595,-0.0261308,-0.0287406,-0.0260282,-0.0262087,-0.0286982,-0.0320442,-0.0278496,-0.0326469,-0.029631,-0.00713017,NA,0.0219208,0.0358403,-0.0806767,-0.0286359,-0.0262159
"139",NA,"Early_RecrDev_1915",-0.0299534,-0.00918899,-0.0956249,-0.030628,-0.0256144,0.153624,0.234085,0.158596,-0.0169185,-0.0454598,-0.0267726,-0.02733,-0.0299962,-0.0272259,-0.0274,-0.0299557,-0.0334384,-0.0290591,-0.0339674,-0.0309419,-0.00918901,NA,0.0227716,0.0363194,-0.0830619,-0.030091,-0.0274074
"140",NA,"Early_RecrDev_1916",-0.0317572,-0.0112295,-0.0986815,-0.0302021,-0.0274014,0.156685,0.24233,0.161907,-0.0187408,-0.0465727,-0.028499,-0.0290746,-0.0317976,-0.0289736,-0.0291395,-0.0317596,-0.0353762,-0.0308134,-0.035828,-0.0327974,-0.0112294,NA,0.0230745,0.03632,-0.0858933,-0.0318025,-0.0291469
"141",NA,"Early_RecrDev_1917",-0.0343272,-0.0132731,-0.102339,-0.0294219,-0.0298203,0.157985,0.248435,0.163428,-0.0213489,-0.04843,-0.030997,-0.0315866,-0.0343649,-0.0314937,-0.0316492,-0.0343298,-0.0380747,-0.0333349,-0.0384482,-0.0354181,-0.0132731,NA,0.0226071,0.0356327,-0.08937,-0.0338518,-0.0316568
"142",NA,"Early_RecrDev_1918",-0.0379507,-0.0154322,-0.106686,-0.0287435,-0.0331043,0.156754,0.251226,0.16237,-0.0250432,-0.0513084,-0.0345573,-0.0351564,-0.0379854,-0.0350749,-0.0352191,-0.0379533,-0.0418155,-0.0369113,-0.0421107,-0.0390889,-0.0154321,NA,0.0210183,0.0339564,-0.093708,-0.0363992,-0.0352266
"143",NA,"Early_RecrDev_1919",-0.0429012,-0.0178823,-0.111857,-0.0289838,-0.0374968,0.152587,0.250098,0.158321,-0.0300979,-0.0554709,-0.0394524,-0.0400567,-0.0429329,-0.03999,-0.0401217,-0.0429036,-0.0468724,-0.0418152,-0.0470892,-0.0440834,-0.0178823,NA,0.0180201,0.0310773,-0.09918,-0.0396672,-0.0401293
"144",NA,"Early_RecrDev_1920",-0.0493736,-0.0208933,-0.117853,-0.0312911,-0.043209,0.145162,0.244508,0.150947,-0.0366978,-0.0611626,-0.0458773,-0.0464827,-0.0494024,-0.046433,-0.0465518,-0.0493762,-0.053435,-0.0482444,-0.0535825,-0.0505938,-0.0208933,NA,0.0133998,0.0268156,-0.105975,-0.043814,-0.0465596
"145",NA,"Early_RecrDev_1921",-0.057436,-0.0248296,-0.124478,-0.0369484,-0.0503803,0.134325,0.234168,0.140093,-0.0449141,-0.0684424,-0.0539011,-0.0545026,-0.0574621,-0.0544718,-0.0545784,-0.0574387,-0.0615692,-0.0562669,-0.0616578,-0.0586869,-0.0248295,NA,0.00705783,0.0210752,-0.114144,-0.0489515,-0.0545861
"146",NA,"Early_RecrDev_1922",-0.0670229,-0.0301383,-0.131393,-0.0470174,-0.0590623,0.120224,0.219234,0.125907,-0.0546774,-0.0772545,-0.0634576,-0.0640503,-0.0670469,-0.0640401,-0.0641353,-0.0670254,-0.0712082,-0.0658179,-0.0712511,-0.0682965,-0.0301383,NA,-0.00095288,0.0138709,-0.123618,-0.0551189,-0.0641431
"147",NA,"Early_RecrDev_1923",-0.0779142,-0.0372893,-0.138126,-0.061865,-0.0691761,0.103309,0.200314,0.108846,-0.0657597,-0.0873956,-0.0743262,-0.0749048,-0.0779371,-0.0749167,-0.0750021,-0.0779168,-0.0821314,-0.0766774,-0.0821443,-0.0792024,-0.0372893,NA,-0.0104059,0.00534821,-0.134189,-0.0622549,-0.0750098
"148",NA,"Early_RecrDev_1924",-0.0897245,-0.0466788,-0.14411,-0.0808117,-0.0804754,0.0843018,0.178395,0.0896469,-0.0777674,-0.0984879,-0.08612,-0.0866785,-0.0897473,-0.0867144,-0.0867924,-0.0897271,-0.0939545,-0.0884607,-0.0939541,-0.0910189,-0.0466788,NA,-0.0208974,-0.00421448,-0.145494,-0.0701809,-0.0868001
"149",NA,"Early_RecrDev_1925",-0.101913,-0.0584943,-0.148757,-0.102131,-0.0925107,0.0641501,0.154749,0.0692736,-0.090152,-0.109995,-0.0982975,-0.0988289,-0.101937,-0.0988915,-0.0989649,-0.101916,-0.106139,-0.100627,-0.106142,-0.103206,-0.0584942,NA,-0.0318556,-0.0144171,-0.157022,-0.0786103,-0.0989726
"150",NA,"Early_RecrDev_1926",-0.113776,-0.0726007,-0.151513,-0.123397,-0.104626,0.0440005,0.130862,0.0488899,-0.102196,-0.12123,-0.110155,-0.110653,-0.113804,-0.110744,-0.110816,-0.113779,-0.11798,-0.112476,-0.118011,-0.115059,-0.0726007,NA,-0.0425146,-0.0247473,-0.168112,-0.0871323,-0.110824
"151",NA,"Early_RecrDev_1927",-0.124483,-0.0884885,-0.151905,-0.142065,-0.115998,0.0250905,0.108273,0.0297488,-0.113056,-0.131366,-0.120861,-0.121319,-0.124515,-0.121442,-0.121516,-0.124485,-0.128645,-0.12318,-0.128735,-0.125745,-0.0884885,NA,-0.05195,-0.0345944,-0.177979,-0.0952452,-0.121524
"152",NA,"Early_RecrDev_1928",-0.133189,-0.105323,-0.149639,-0.156049,-0.125747,0.00859442,0.0883936,0.0130373,-0.121877,-0.139574,-0.129573,-0.129988,-0.133228,-0.130145,-0.130223,-0.133192,-0.137287,-0.131904,-0.137481,-0.134418,-0.105323,NA,-0.0591902,-0.0433795,-0.185825,-0.10246,-0.130231
"153",NA,"Early_RecrDev_1929",-0.13916,-0.122063,-0.144671,-0.164038,-0.133081,-0.00451538,0.0723597,-0.000263505,-0.127903,-0.145158,-0.135558,-0.135927,-0.139206,-0.136118,-0.136204,-0.139163,-0.143162,-0.137919,-0.143525,-0.140334,-0.122063,NA,-0.0633239,-0.0506538,-0.190963,-0.108364,-0.136211
"154",NA,"Early_RecrDev_1930",-0.141975,-0.137615,-0.137335,-0.165584,-0.137473,-0.0137355,0.060737,-0.00964709,-0.130699,-0.147719,-0.138396,-0.13872,-0.142029,-0.138947,-0.13904,-0.141977,-0.145842,-0.140813,-0.146457,-0.143072,-0.137615,NA,-0.0637595,-0.0562603,-0.19301,-0.112732,-0.139048
"155",NA,"Early_RecrDev_1931",-0.14182,-0.151055,-0.128565,-0.161119,-0.138899,-0.0193865,0.0531303,-0.0154382,-0.130464,-0.147415,-0.138279,-0.138562,-0.141882,-0.138821,-0.138923,-0.141822,-0.145512,-0.140778,-0.146462,-0.142815,-0.151055,NA,-0.0605173,-0.0604958,-0.19217,-0.115669,-0.138931
"156",NA,"Early_RecrDev_1932",-0.139586,-0.161734,-0.120071,-0.1518,-0.137955,-0.0226641,0.0481509,-0.0188429,-0.12809,-0.145154,-0.136098,-0.13635,-0.139655,-0.136635,-0.136743,-0.139588,-0.14306,-0.138701,-0.144429,-0.140454,-0.161734,NA,-0.0543362,-0.0641638,-0.189333,-0.117649,-0.136751
"157",NA,"Early_RecrDev_1933",-0.136826,-0.169285,-0.114205,-0.139389,-0.135783,-0.0256224,0.0434249,-0.0219327,-0.125178,-0.142407,-0.133403,-0.133641,-0.1369,-0.13394,-0.134051,-0.136829,-0.140049,-0.136123,-0.141892,-0.137548,-0.169285,NA,-0.0468335,-0.0684545,-0.186002,-0.119478,-0.134059
"158",NA,"Early_RecrDev_1934",-0.135558,-0.173765,-0.113517,-0.126428,-0.134015,-0.0309144,0.0358646,-0.0273839,-0.123799,-0.141093,-0.132207,-0.132451,-0.135635,-0.132746,-0.132856,-0.135561,-0.138503,-0.135043,-0.140845,-0.136125,-0.173765,NA,-0.0403021,-0.0746788,-0.184116,-0.122096,-0.132864
"159",NA,"Early_RecrDev_1935",-0.137552,-0.175647,-0.11983,-0.116048,-0.134288,-0.0408925,0.0227045,-0.037571,-0.125791,-0.142865,-0.134274,-0.134547,-0.137628,-0.134818,-0.134921,-0.137555,-0.140194,-0.137214,-0.143043,-0.137955,-0.175646,NA,-0.0371097,-0.0837431,-0.185343,-0.126215,-0.134929
"160",NA,"Early_RecrDev_1936",-0.143521,-0.175842,-0.133208,-0.111345,-0.13765,-0.0565335,0.00277023,-0.0534807,-0.131897,-0.14837,-0.140307,-0.140631,-0.143592,-0.140859,-0.140949,-0.143524,-0.145825,-0.143346,-0.149199,-0.143747,-0.175842,NA,-0.0387313,-0.0956927,-0.190312,-0.132005,-0.140957
"161",NA,"Early_RecrDev_1937",-0.152528,-0.175544,-0.151494,-0.114267,-0.143984,-0.0767657,-0.0227801,-0.0740368,-0.141194,-0.156617,-0.149371,-0.149755,-0.152591,-0.149934,-0.150003,-0.15253,-0.154443,-0.152511,-0.158397,-0.152554,-0.175544,NA,-0.0448757,-0.10949,-0.19805,-0.138843,-0.150011
"162",NA,"Early_RecrDev_1938",-0.162187,-0.176032,-0.170951,-0.124652,-0.151895,-0.0987417,-0.0507878,-0.0963748,-0.151248,-0.165301,-0.159082,-0.159526,-0.16224,-0.159662,-0.159702,-0.16219,-0.163651,-0.162348,-0.168281,-0.16198,-0.176032,NA,-0.0533379,-0.123123,-0.206218,-0.145461,-0.15971
"163",NA,"Early_RecrDev_1939",-0.169402,-0.17816,-0.187576,-0.140005,-0.158963,-0.118836,-0.0772708,-0.116851,-0.15892,-0.17137,-0.166347,-0.166838,-0.169443,-0.166952,-0.166954,-0.169404,-0.170357,-0.169766,-0.175765,-0.16893,-0.17816,NA,-0.060726,-0.134018,-0.2118,-0.150257,-0.166962
"164",NA,"Early_RecrDev_1940",-0.171357,-0.181808,-0.198662,-0.156345,-0.162412,-0.13385,-0.0987727,-0.132252,-0.161348,-0.172092,-0.168353,-0.168873,-0.171384,-0.168993,-0.168947,-0.17136,-0.171762,-0.171953,-0.178032,-0.170594,-0.181808,NA,-0.0636474,-0.139475,-0.212072,-0.151708,-0.168955
"165",NA,"Early_RecrDev_1941",-0.165782,-0.185189,-0.20355,-0.168815,-0.159424,-0.141342,-0.112735,-0.140131,-0.156268,-0.16514,-0.162832,-0.163356,-0.165795,-0.163512,-0.163414,-0.165785,-0.165617,-0.166626,-0.172795,-0.164715,-0.185189,NA,-0.0594003,-0.136808,-0.204825,-0.148371,-0.163421
"166",NA,"Early_RecrDev_1942",-0.150456,-0.18447,-0.203525,-0.171724,-0.147027,-0.139024,-0.116819,-0.138197,-0.141461,-0.148255,-0.14756,-0.14807,-0.150455,-0.148286,-0.148131,-0.150458,-0.149712,-0.15156,-0.157826,-0.149077,-0.18447,NA,-0.045609,-0.123253,-0.187904,-0.138673,-0.148139
"167",NA,"Early_RecrDev_1943",-0.122348,-0.173872,-0.200897,-0.158383,-0.121627,-0.123896,-0.108013,-0.123451,-0.113871,-0.118404,-0.119506,-0.119987,-0.122333,-0.12028,-0.12007,-0.12235,-0.121006,-0.123735,-0.130118,-0.12064,-0.173872,NA,-0.0192041,-0.0959422,-0.158383,-0.120781,-0.120077
"168",NA,"Early_RecrDev_1944",-0.0773438,-0.14637,-0.19763,-0.12133,-0.0788108,-0.0920823,-0.0824911,-0.0920211,-0.0693944,-0.0713171,-0.0745461,-0.0749942,-0.0773156,-0.0753788,-0.0751097,-0.0773462,-0.075363,-0.0790559,-0.0856025,-0.0752762,-0.14637,NA,0.024298,-0.0524211,-0.112313,-0.0929391,-0.0751171
"169",NA,"Early_RecrDev_1945",-0.0119281,-0.0956599,-0.194519,-0.0540244,-0.0147062,-0.0406179,-0.0374132,-0.0409542,-0.00441893,-0.00353195,-0.00914198,-0.00955977,-0.0118849,-0.0100528,-0.00971553,-0.0119307,-0.00922578,-0.014034,-0.0208588,-0.00943467,-0.0956599,NA,0.0899136,0.00745832,-0.0464647,-0.0548794,-0.00972304
"170",NA,"Early_RecrDev_1946",0.0731147,-0.0190733,-0.189406,0.0460509,0.0706968,0.0286607,0.0250949,0.0278894,0.0803616,0.0841676,0.0759629,0.0755667,0.0731768,0.0749363,0.0753641,0.073112,0.0766356,0.0705425,0.0632468,0.076118,-0.0190733,NA,0.179689,0.0782716,0.0381428,-0.00949557,0.0753562
"171",NA,"Early_RecrDev_1947",0.166109,0.0768494,-0.175922,0.17001,0.166747,0.102855,0.0917781,0.101586,0.173331,0.180072,0.169134,0.168755,0.166196,0.167936,0.168494,0.166106,0.170458,0.163062,0.155063,0.169665,0.0768494,NA,0.2856,0.144536,0.129985,0.0354735,0.168486
"172",NA,"Early_RecrDev_1948",0.236334,0.167679,-0.14343,0.280916,0.242323,0.152186,0.133024,0.150377,0.243335,0.253786,0.239606,0.239265,0.236451,0.238202,0.238928,0.236331,0.241147,0.233052,0.224371,0.240242,0.16768,NA,0.376057,0.179122,0.199846,0.0673264,0.238919
"173",NA,"Early_RecrDev_1949",0.236561,0.205393,-0.0809513,0.299341,0.246375,0.136804,0.110784,0.134566,0.242801,0.256025,0.239885,0.239645,0.236697,0.238373,0.239224,0.236558,0.241063,0.233562,0.224925,0.240287,0.205393,NA,0.387104,0.15425,0.203469,0.0700135,0.239215
"174",NA,"Early_RecrDev_1950",0.146847,0.152661,0.0157388,0.186563,0.156685,0.0421528,0.0120421,0.0397096,0.151858,0.166037,0.149883,0.149785,0.146979,0.148443,0.149303,0.146844,0.150559,0.14444,0.136717,0.149997,0.152661,NA,0.284215,0.0670909,0.120769,0.0309787,0.149295
"175",NA,"Early_RecrDev_1951",0.00293959,0.034938,0.139279,0.0120342,0.0124325,-0.102036,-0.134685,-0.104571,0.00695988,0.0210419,0.00557851,0.00560224,0.00305918,0.00427411,0.00507893,0.00293713,0.00612248,0.000921647,-0.00580221,0.00565179,0.034938,NA,0.117793,-0.0554346,-0.0159733,-0.0470448,0.0050717
"176",NA,"Early_RecrDev_1952",-0.145514,-0.092766,0.264841,-0.15396,-0.134758,-0.252313,-0.287649,-0.254959,-0.142147,-0.127866,-0.143225,-0.143117,-0.145406,-0.144424,-0.143671,-0.145517,-0.142476,-0.147441,-0.153474,-0.142977,-0.092766,NA,-0.051111,-0.178997,-0.158334,-0.14273,-0.143678
"177",NA,"Early_RecrDev_1953",-0.26617,-0.195383,0.335363,-0.279726,-0.253643,-0.377688,-0.416441,-0.380506,-0.263236,-0.248275,-0.264175,-0.264008,-0.266068,-0.265309,-0.26459,-0.266172,-0.263027,-0.268205,-0.273811,-0.263625,-0.195383,NA,-0.188846,-0.278798,-0.273482,-0.229462,-0.264596
"178",NA,"Early_RecrDev_1954",-0.343374,-0.261856,0.289638,-0.35393,-0.330703,-0.462113,-0.505036,-0.465159,-0.340703,-0.3249,-0.341646,-0.341439,-0.343275,-0.342743,-0.342041,-0.343377,-0.339956,-0.345653,-0.350999,-0.3407,-0.261856,NA,-0.280731,-0.342236,-0.345239,-0.288352,-0.342047
"179",NA,"Early_RecrDev_1955",-0.370209,-0.293943,0.168843,-0.372572,-0.361031,-0.498497,-0.54639,-0.501828,-0.367737,-0.350788,-0.368744,-0.36851,-0.37011,-0.36982,-0.369124,-0.370211,-0.366373,-0.372848,-0.378051,-0.367304,-0.293943,NA,-0.320994,-0.365423,-0.366435,-0.310073,-0.36913
"180",NA,"Early_RecrDev_1956",-0.344444,-0.296003,0.0601689,-0.335167,-0.342731,-0.48512,-0.538984,-0.488808,-0.342073,-0.323833,-0.343229,-0.342983,-0.344343,-0.3443,-0.343598,-0.344446,-0.340037,-0.347556,-0.352751,-0.341203,-0.296003,NA,-0.307989,-0.351296,-0.334911,-0.292733,-0.343604
"181",NA,"Early_RecrDev_1957",-0.271874,-0.271266,0.00379008,-0.248762,-0.278479,-0.428918,-0.490071,-0.433061,-0.269533,-0.249686,-0.27085,-0.270604,-0.271768,-0.271926,-0.271207,-0.271876,-0.266813,-0.275499,-0.280883,-0.268221,-0.271266,NA,-0.247581,-0.311813,-0.256662,-0.243461,-0.271213
"182",NA,"Early_RecrDev_1958",-0.172862,-0.224823,-0.00434912,-0.137542,-0.18258,-0.351189,-0.421037,-0.355902,-0.170589,-0.148434,-0.171887,-0.17166,-0.172751,-0.172959,-0.172222,-0.172865,-0.167291,-0.176826,-0.182628,-0.168852,-0.224823,NA,-0.160019,-0.267924,-0.151692,-0.181522,-0.17223
"183",NA,"Early_RecrDev_1959",-0.0869048,-0.172411,0.00564173,-0.0520155,-0.0905631,-0.289307,-0.368132,-0.294638,-0.0849851,-0.059495,-0.0857107,-0.0855243,-0.0867927,-0.0867001,-0.0859858,-0.0869073,-0.0814563,-0.090573,-0.096941,-0.0828952,-0.172411,NA,-0.0828824,-0.243477,-0.0580571,-0.134337,-0.0859937
