"","Label","Type","Reference","NWFSC biased","WDFW biased","WDFW w/ ADFG","NWFSC w/ ADFG","M est","NMT prior, fixed","NMT prior, est.","h est","2011 h value","2011 L-W","2011 maturity","spline maturity","2011 fecundity","All years -50%","All years +50%","Comm. -50%","Comm. +50%","Rec. -50%","Rec. +50%","Lumped comp data","No rec devs","Est. dome sel","harm. mean wgting","1 area","2 sex","Rec. sel. dome"
"31",NA,"X6_OR_REC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",NA,"X7_WA_REC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"33",NA,"X8_CACPFV",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34",NA,"X9_OR_RECOB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"35",NA,"X10_TRI_ORWA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"36",NA,"X11_NWFSC_ORWA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37",NA,"X12_IPHC_ORWA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","Lt_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,"ALL",1229.76,1232.32,1237.96,1236.07,1243.84,1220.61,1225.57,1220.41,1225.83,1245.08,1236.27,1235.88,1229.71,1236.57,1236.19,1229.76,1232.76,1234.59,1227.94,1231.37,1232.32,1286.51,1204.44,1122.65,1248.13,1464.53,1236.19
"39",NA,"X1_CA_TWL",176.187,176.466,174.682,176.094,176.028,177.692,178.351,177.734,176.277,175.918,176.114,176.098,176.187,176.095,176.095,176.187,176.378,176.039,176.087,176.291,176.466,174.929,174.681,106.767,176.063,230.646,176.095
"40",NA,"X2_CA_NONTWL",90.1211,90.5232,90.5803,90.396,90.5464,89.6397,89.5146,89.6217,90.0369,89.9473,90.4191,90.3618,90.1201,90.3982,90.3838,90.1211,91.1593,89.8129,89.2931,90.6967,90.5232,81.7426,92.1766,90.785,87.6021,88.1735,90.3838
"41",NA,"X3_CA_REC",247.935,246.312,248.902,248.006,248.331,247.843,248.226,247.847,248.095,247.863,248.147,248.123,247.938,248.099,248.118,247.935,249.636,247.417,246.991,248.85,246.312,241.4,243.569,226.408,262.878,279.443,248.118
"42",NA,"X4_ORWA_TWL",46.1339,47.005,47.9534,46.4906,46.6015,45.3536,45.259,45.3456,45.7667,47.838,46.4501,46.3956,46.129,46.4599,46.4187,46.134,46.4232,46.1902,45.8988,46.2945,47.005,57.9468,42.991,173.292,47.1275,66.5676,46.4189
"43",NA,"X5_ORWA_NONTWL",78.9133,78.4551,78.6054,78.9244,78.6603,77.9328,77.4845,77.9073,78.3955,81.2914,78.8618,78.8287,78.9039,78.9203,78.857,78.9135,78.8929,78.8694,78.9485,78.91,78.4551,101.1,74.4402,90.5306,79.5114,117.209,78.8573
"44",NA,"X6_OR_REC",142.365,141.942,140.39,143.168,143.318,137.061,136.191,136.919,140.825,147.099,143.524,143.352,142.347,143.657,143.497,142.365,143.256,142.829,141.262,142.948,141.942,158.799,133.582,78.2092,125.08,165.451,143.498
"45",NA,"X7_WA_REC",80.216,84.0325,84.4171,84.1762,91.2041,80.4687,86.0388,80.4807,80.2434,80.1134,84.1712,84.2008,80.2176,84.1082,84.1546,80.216,80.1238,84.0802,80.3161,80.1525,84.0325,89.3401,75.2605,35.8117,97.3523,80.5973,84.1544
"46",NA,"X8_CACPFV",144.668,144.113,147.377,145.046,145.323,142.778,142.267,142.736,144.219,146.894,144.776,144.795,144.662,144.85,144.812,144.668,144.843,144.853,144.896,144.7,144.113,154.744,147.82,59.5001,148.989,143.467,144.812
"47",NA,"X9_OR_RECOB",102.923,103.314,104.45,103.363,103.194,101.096,101.123,101.061,101.608,107.195,103.371,103.292,102.911,103.538,103.419,102.923,101.687,104.111,103.975,102.202,103.314,107.779,97.5029,86.8212,101.227,100.271,103.42
"48",NA,"X10_TRI_ORWA",29.4083,29.273,28.9477,29.43,29.3785,29.7736,30.0814,29.7863,29.3205,29.6671,29.4664,29.4611,29.4074,29.4782,29.468,29.4083,29.3454,29.4948,29.4481,29.3739,29.273,29.8284,30.0942,55.2126,29.8416,40.0278,29.468
"49",NA,"X11_NWFSC_ORWA",54.583,54.4803,54.5013,54.6434,54.7985,54.513,54.4597,54.5093,54.7025,55.0128,54.6374,54.6402,54.5817,54.633,54.6293,54.583,54.7915,54.5116,54.4275,54.7023,54.4803,54.0177,54.2161,82.952,54.2999,84.3265,54.6293
"50",NA,"X12_IPHC_ORWA",36.3056,36.4015,37.1547,36.3298,36.46,36.4538,36.5779,36.4612,36.336,36.2447,36.3298,36.3324,36.3066,36.3279,36.3319,36.3056,36.2204,36.3809,36.3927,36.2515,36.4015,34.8831,38.1027,36.3618,38.158,68.3549,36.3319
"5","Lt_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"X1_CA_TWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"53",NA,"X2_CA_NONTWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54",NA,"X3_CA_REC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",NA,"X4_ORWA_TWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"56",NA,"X5_ORWA_NONTWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"57",NA,"X6_OR_REC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"58",NA,"X7_WA_REC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59",NA,"X8_CACPFV",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"60",NA,"X9_OR_RECOB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61",NA,"X10_TRI_ORWA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62",NA,"X11_NWFSC_ORWA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
