ParName   Value   Gradient
MGparm[2]      8.30131 7.18522e-006
MGparm[3]      63.4235 7.24413e-005
MGparm[4]    0.0655255  3.5258e-005
MGparm[5]     0.190934 -1.82393e-006
MGparm[6]    0.0542816 -1.93362e-006
MGparm[15]     0.392835 5.32714e-005
SR_parm[1]      5.34449  0.000160973
recdev_early(1889)  -0.00352443  7.5154e-007
recdev_early(1890)  -0.00362465 6.28363e-007
recdev_early(1891)  -0.00372463  4.4619e-007
recdev_early(1892)  -0.00382715 5.77233e-007
recdev_early(1893)  -0.00392804 9.71714e-007
recdev_early(1894)  -0.00403199 8.82567e-009
recdev_early(1895)  -0.00413857  1.5298e-006
recdev_early(1896)  -0.00424871 2.76544e-007
recdev_early(1897)  -0.00436317 1.20427e-006
recdev_early(1898)  -0.00447607 1.21234e-006
recdev_early(1899)    -0.004586 1.61221e-006
recdev_early(1900)  -0.00471424 1.90394e-006
recdev_early(1901)  -0.00482876 3.49686e-006
recdev_early(1902)  -0.00492077 1.04742e-006
recdev_early(1903)   -0.0050596 1.74034e-006
recdev_early(1904)  -0.00518449 -3.2943e-006
recdev_early(1905)  -0.00528573 -7.10526e-006
recdev_early(1906)   -0.0053591 1.99479e-006
recdev_early(1907)  -0.00536035 -2.42307e-006
recdev_early(1908)   -0.0053208 6.50966e-006
recdev_early(1909)  -0.00525603 7.39408e-006
recdev_early(1910)   -0.0051628 1.68012e-006
recdev_early(1911)  -0.00505359 3.79118e-006
recdev_early(1912)  -0.00494687 1.94029e-006
recdev_early(1913)  -0.00494396 -1.01925e-006
recdev_early(1914)  -0.00514211 -3.27406e-006
recdev_early(1915)   -0.0057279 2.52975e-006
recdev_early(1916)  -0.00686604 1.85933e-006
recdev_early(1917)  -0.00878632 1.52185e-006
recdev_early(1918)   -0.0118087  1.6575e-006
recdev_early(1919)   -0.0162048 1.59635e-006
recdev_early(1920)     -0.02218  1.7345e-006
recdev_early(1921)    -0.029824 1.76778e-006
recdev_early(1922)   -0.0390889 1.77935e-006
recdev_early(1923)   -0.0497671 1.83976e-006
recdev_early(1924)   -0.0614787  1.6757e-006
recdev_early(1925)   -0.0736772 1.65719e-006
recdev_early(1926)   -0.0856384 1.77718e-006
recdev_early(1927)   -0.0965012 1.82118e-006
recdev_early(1928)    -0.105387 2.10903e-006
recdev_early(1929)    -0.111522  1.7325e-006
recdev_early(1930)    -0.114461 2.08485e-006
recdev_early(1931)    -0.114381 2.15496e-006
recdev_early(1932)    -0.112178 1.51476e-006
recdev_early(1933)    -0.109427  2.4176e-006
recdev_early(1934)    -0.108189  2.1718e-006
recdev_early(1935)     -0.11028 2.52817e-006
recdev_early(1936)    -0.116443 2.21645e-006
recdev_early(1937)     -0.12575 2.20053e-006
recdev_early(1938)    -0.135794   2.518e-006
recdev_early(1939)    -0.143436  2.6889e-006
recdev_early(1940)    -0.145817 2.66464e-006
recdev_early(1941)    -0.140623 2.69216e-006
